mean_metric_score,std_metric_score,split_type,mol_prop,model_name,metric_name
0.9275626293604652,0.15709004654035352,scaffold,MDR1,RF,AUROC
0.8310983118288292,0.2181543381154895,scaffold,MDR1,RF,AUPRC
0.7049452401584672,0.3222343566844715,scaffold,MDR1,RF,Precision_PPV
0.9846043509059554,0.009190757111718876,scaffold,MDR1,RF,Precision_NPV
0.8324867296648509,0.1284351349672016,scaffold,CYP3A4,RF,AUROC
0.5375973471771814,0.2746592510371886,scaffold,CYP3A4,RF,AUPRC
0.395646888520135,0.37538355368038145,scaffold,CYP3A4,RF,Precision_PPV
0.989766781912958,0.011132357870193805,scaffold,CYP3A4,RF,Precision_NPV
0.5188643838427061,0.4758191573833022,scaffold,CYP2D6,RF,AUROC
0.24664330616964267,0.24911698465264895,scaffold,CYP2D6,RF,AUPRC
0.06831896747154759,0.18836247028502712,scaffold,CYP2D6,RF,Precision_PPV
0.9881850452996059,0.006932602124061354,scaffold,CYP2D6,RF,Precision_NPV
0.9126753333521269,0.03309916203400594,scaffold,MOR,RF,AUROC
0.8222386102962048,0.08582582402158109,scaffold,MOR,RF,AUPRC
0.6569670847517464,0.11932149268509024,scaffold,MOR,RF,Precision_PPV
0.9425921215808972,0.030993419324614052,scaffold,MOR,RF,Precision_NPV
0.8660952601624126,0.040272469627391505,scaffold,DOR,RF,AUROC
0.6416325781710097,0.0855071663795201,scaffold,DOR,RF,AUPRC
0.5083240564129813,0.09462130743768328,scaffold,DOR,RF,Precision_PPV
0.9477722334708335,0.027195965278114097,scaffold,DOR,RF,Precision_NPV
0.9010320913981944,0.03325857115492407,scaffold,KOR,RF,AUROC
0.7995433770681836,0.06611170169140079,scaffold,KOR,RF,AUPRC
0.6875016613616398,0.08097682385476031,scaffold,KOR,RF,Precision_PPV
0.9277154135254329,0.029407520819648193,scaffold,KOR,RF,Precision_NPV
0.8479981012303563,0.15899764724736062,scaffold,MDR1,molbert,AUROC
0.674665971778984,0.25669824820386256,scaffold,MDR1,molbert,AUPRC
0.5487485358524132,0.36845849575122885,scaffold,MDR1,molbert,Precision_PPV
0.9753132446894501,0.018188271132755826,scaffold,MDR1,molbert,Precision_NPV
0.782554185373813,0.12583813399339264,scaffold,CYP3A4,molbert,AUROC
0.29785260902088506,0.23615614920800698,scaffold,CYP3A4,molbert,AUPRC
0.23361924742510462,0.3195005152009825,scaffold,CYP3A4,molbert,Precision_PPV
0.9904514014512894,0.006076142136821669,scaffold,CYP3A4,molbert,Precision_NPV
0.5234061658416522,0.448155985548619,scaffold,CYP2D6,molbert,AUROC
0.029249584848234613,0.024526679121496826,scaffold,CYP2D6,molbert,AUPRC
0.02076823638120562,0.02323446249473574,scaffold,CYP2D6,molbert,Precision_PPV
0.9785533926734845,0.041807229243572004,scaffold,CYP2D6,molbert,Precision_NPV
0.8455309066920079,0.04906601790385836,scaffold,MOR,molbert,AUROC
0.6929592788701083,0.10970424660388702,scaffold,MOR,molbert,AUPRC
0.6299770042385099,0.11859345733985532,scaffold,MOR,molbert,Precision_PPV
0.8980030808484657,0.04333508815667766,scaffold,MOR,molbert,Precision_NPV
0.7979990858384749,0.04939715456081966,scaffold,DOR,molbert,AUROC
0.49878117620108087,0.1115478701252363,scaffold,DOR,molbert,AUPRC
0.4386293392658872,0.11974689240595966,scaffold,DOR,molbert,Precision_PPV
0.9323398307843939,0.039094455875333334,scaffold,DOR,molbert,Precision_NPV
0.8254338061716049,0.053936079095349754,scaffold,KOR,molbert,AUROC
0.6578753769666493,0.10579100821910117,scaffold,KOR,molbert,AUPRC
0.5815462762139764,0.08081999424594727,scaffold,KOR,molbert,Precision_PPV
0.8960941777962561,0.04894694223166477,scaffold,KOR,molbert,Precision_NPV
0.8033647453098567,0.2054412549279178,scaffold,MDR1,grover_base,AUROC
0.562920849278766,0.31605748653407,scaffold,MDR1,grover_base,AUPRC
0.49115956324351523,0.34690206540248225,scaffold,MDR1,grover_base,Precision_PPV
0.961462533549031,0.061536660825715926,scaffold,MDR1,grover_base,Precision_NPV
0.646635797575593,0.18430478440676237,scaffold,CYP3A4,grover_base,AUROC
0.10000581358861836,0.1658735930509923,scaffold,CYP3A4,grover_base,AUPRC
0.04746666019147846,0.05361282517489795,scaffold,CYP3A4,grover_base,Precision_PPV
0.9764183211554643,0.038114911394598716,scaffold,CYP3A4,grover_base,Precision_NPV
0.437135319992707,0.43320340274666114,scaffold,CYP2D6,grover_base,AUROC
0.01936317244837208,0.016009698896988542,scaffold,CYP2D6,grover_base,AUPRC
0.011270866766626178,0.01729582138541235,scaffold,CYP2D6,grover_base,Precision_PPV
0.9823433514127494,0.015407848972328374,scaffold,CYP2D6,grover_base,Precision_NPV
0.8240251442642134,0.06626791629304772,scaffold,MOR,grover_base,AUROC
0.6713331481168393,0.11956656714880007,scaffold,MOR,grover_base,AUPRC
0.5774251852548614,0.1207145464869337,scaffold,MOR,grover_base,Precision_PPV
0.8953002379551119,0.050938854039284685,scaffold,MOR,grover_base,Precision_NPV
0.6949866884408463,0.12976251412936507,scaffold,DOR,grover_base,AUROC
0.39396021126099107,0.1446940148581215,scaffold,DOR,grover_base,AUPRC
0.37533715768143183,0.14932563177703403,scaffold,DOR,grover_base,Precision_PPV
0.8951463267217147,0.06515923587287677,scaffold,DOR,grover_base,Precision_NPV
0.8287085216252756,0.05313768400824769,scaffold,KOR,grover_base,AUROC
0.6601018145941722,0.1006648658271668,scaffold,KOR,grover_base,AUPRC
0.6025452911089771,0.1263977744409684,scaffold,KOR,grover_base,Precision_PPV
