mean_metric_score,std_metric_score,split_type,mol_prop,model_name,AC_label,metric_name
0.6987442668982374,0.6795629279297319,scaffold,MDR1,RF,AC,AUROC
0.784344667000255,0.2687449225498007,scaffold,MDR1,RF,AC,AUPRC
0.6209178620943326,0.38108976103666875,scaffold,MDR1,RF,AC,Precision_PPV
0.9625501523469537,0.05952266275600909,scaffold,MDR1,RF,AC,Precision_NPV
0.30877708339631965,0.7681133068599433,scaffold,CYP3A4,RF,AC,AUROC
0.2545143323655583,0.32142392326837915,scaffold,CYP3A4,RF,AC,AUPRC
0.08468059760619003,0.18148859882917315,scaffold,CYP3A4,RF,AC,Precision_PPV
0.9820650383386333,0.014792506137554744,scaffold,CYP3A4,RF,AC,Precision_NPV
0.1335521230302755,0.7810018000013597,scaffold,CYP2D6,RF,AC,AUROC
0.2552314833259225,0.3379470454584702,scaffold,CYP2D6,RF,AC,AUPRC
0.020378387045053705,0.058225176335231596,scaffold,CYP2D6,RF,AC,Precision_PPV
0.9784579278668718,0.017852001973681877,scaffold,CYP2D6,RF,AC,Precision_NPV
0.8717118626381566,0.0802934314392633,scaffold,MOR,RF,AC,AUROC
0.7099037750139087,0.19967304923155976,scaffold,MOR,RF,AC,AUPRC
0.623644634598386,0.1942001896147248,scaffold,MOR,RF,AC,Precision_PPV
0.9292835339222246,0.059791791402782006,scaffold,MOR,RF,AC,Precision_NPV
0.8063585341437141,0.08815480487320891,scaffold,DOR,RF,AC,AUROC
0.5816972255718436,0.15856837957208933,scaffold,DOR,RF,AC,AUPRC
0.5121150792224526,0.13311910783973946,scaffold,DOR,RF,AC,Precision_PPV
0.9172328501932316,0.048673949265017835,scaffold,DOR,RF,AC,Precision_NPV
0.8598934003395462,0.06550360372764237,scaffold,KOR,RF,AC,AUROC
0.7624688899671327,0.11711496226043727,scaffold,KOR,RF,AC,AUPRC
0.6880139382307663,0.12406849957001771,scaffold,KOR,RF,AC,Precision_PPV
0.891433407126658,0.06317987106882751,scaffold,KOR,RF,AC,Precision_NPV
0.6312119071504882,0.6650232807796169,scaffold,MDR1,molbert,AC,AUROC
0.6850759745959353,0.34009625082043016,scaffold,MDR1,molbert,AC,AUPRC
0.5476359142806511,0.4035921385284279,scaffold,MDR1,molbert,AC,Precision_PPV
0.963171168454403,0.03610742889462249,scaffold,MDR1,molbert,AC,Precision_NPV
0.2812327548072771,0.7337531992520193,scaffold,CYP3A4,molbert,AC,AUROC
0.14343927115835237,0.24915351601164298,scaffold,CYP3A4,molbert,AC,AUPRC
0.058154005673049465,0.1637094047344857,scaffold,CYP3A4,molbert,AC,Precision_PPV
0.9773440408679243,0.02694309786661379,scaffold,CYP3A4,molbert,AC,Precision_NPV
0.15775556548816244,0.7969409757737212,scaffold,CYP2D6,molbert,AC,AUROC
