mean_metric_score,std_metric_score,split_type,mol_prop,model_name,metric_name
1.8177007586684721,0.32227080395698604,scaffold,MDR1,RF,RMSE
1.3198662571170217,0.21240810841672567,scaffold,MDR1,RF,MAE
0.6843375213501228,0.1594581231668849,scaffold,MDR1,RF,R2
0.8277254029589414,0.10407069141615488,scaffold,MDR1,RF,Pearson_R
1.5941760378248444,0.21322487080425417,scaffold,CYP3A4,RF,RMSE
1.151838864156941,0.14244218533464384,scaffold,CYP3A4,RF,MAE
0.3951123624067699,0.143619342185899,scaffold,CYP3A4,RF,R2
0.6446861775770333,0.08300861048276785,scaffold,CYP3A4,RF,Pearson_R
1.6763481688771396,0.13163541711151852,scaffold,CYP2D6,RF,RMSE
1.2583655419107003,0.07961138387719645,scaffold,CYP2D6,RF,MAE
0.2777179932142669,0.05847616005035668,scaffold,CYP2D6,RF,R2
0.5359346218754814,0.055425614744844476,scaffold,CYP2D6,RF,Pearson_R
1.953847416901456,0.2722479445822473,scaffold,MOR,RF,RMSE
1.4133018420769676,0.1832375762299553,scaffold,MOR,RF,MAE
0.5564704520935654,0.11563258930975685,scaffold,MOR,RF,R2
0.751909150374095,0.07135906275638572,scaffold,MOR,RF,Pearson_R
1.941926818829377,0.22109945544465573,scaffold,DOR,RF,RMSE
1.4269255038374504,0.1706657581051744,scaffold,DOR,RF,MAE
0.5851085429254665,0.09592078290233969,scaffold,DOR,RF,R2
0.7720543664826356,0.0583220545777913,scaffold,DOR,RF,Pearson_R
2.042248684080894,0.18839770758107816,scaffold,KOR,RF,RMSE
1.531838604588012,0.13849269381013107,scaffold,KOR,RF,MAE
0.5918295929757822,0.06936845563216287,scaffold,KOR,RF,R2
0.7744262196579114,0.04367355670783137,scaffold,KOR,RF,Pearson_R
2.469717111627586,0.41038487679098745,scaffold,MDR1,molbert,RMSE
1.9089221359433803,0.24059385563354882,scaffold,MDR1,molbert,MAE
0.4443538955277639,0.19881373920814416,scaffold,MDR1,molbert,R2
0.7260605741374709,0.13657835514671232,scaffold,MDR1,molbert,Pearson_R
1.8156237026588078,0.17794787694281386,scaffold,CYP3A4,molbert,RMSE
1.390134866483766,0.12755954680273732,scaffold,CYP3A4,molbert,MAE
0.22127484481395948,0.10102973122527174,scaffold,CYP3A4,molbert,R2
0.4823680785161328,0.09821784411199813,scaffold,CYP3A4,molbert,Pearson_R
1.8345575284454156,0.17818250066010377,scaffold,CYP2D6,molbert,RMSE
1.4119503125601574,0.10824620247119934,scaffold,CYP2D6,molbert,MAE
0.1348786000648671,0.09787915108844514,scaffold,CYP2D6,molbert,R2
0.3796484688651202,0.12588333308458577,scaffold,CYP2D6,molbert,Pearson_R
2.406995312501849,0.2006430731368981,scaffold,MOR,molbert,RMSE
1.8963494846831215,0.1583074132165913,scaffold,MOR,molbert,MAE
0.3363341386922615,0.07027226460312119,scaffold,MOR,molbert,R2
0.5933236389988372,0.06579586415036975,scaffold,MOR,molbert,Pearson_R
2.4231120070363192,0.175261404747963,scaffold,DOR,molbert,RMSE
1.9196110842926195,0.15346912259517603,scaffold,DOR,molbert,MAE
0.357371009202896,0.10885385688434011,scaffold,DOR,molbert,R2
0.6120806049153078,0.08657608339726014,scaffold,DOR,molbert,Pearson_R
2.6149045183383635,0.2201432648914166,scaffold,KOR,molbert,RMSE
2.055865790175959,0.1695781473036888,scaffold,KOR,molbert,MAE
0.32889396747337124,0.10242913132242178,scaffold,KOR,molbert,R2
0.587066162011112,0.08618104626578398,scaffold,KOR,molbert,Pearson_R
3.188616254554898,0.8864683934362945,scaffold,MDR1,grover_base,RMSE
2.3662339574338156,0.6346731584581303,scaffold,MDR1,grover_base,MAE
0.09125391770857323,0.4310511426971733,scaffold,MDR1,grover_base,R2
0.42985806638059404,0.3539446497815199,scaffold,MDR1,grover_base,Pearson_R
2.000640960293723,0.1971767904336817,scaffold,CYP3A4,grover_base,RMSE
1.5477580501783779,0.12822873105795965,scaffold,CYP3A4,grover_base,MAE
0.05997759297478442,0.08088589621377676,scaffold,CYP3A4,grover_base,R2
0.333875238317515,0.15039893734714832,scaffold,CYP3A4,grover_base,Pearson_R
1.9064323766358429,0.1453655778256211,scaffold,CYP2D6,grover_base,RMSE
1.480943004125695,0.10517913549753112,scaffold,CYP2D6,grover_base,MAE
0.06331541374831215,0.09759697105032805,scaffold,CYP2D6,grover_base,R2
0.3130947749238696,0.14843255509444417,scaffold,CYP2D6,grover_base,Pearson_R
2.6288723390388427,0.3242436694000576,scaffold,MOR,grover_base,RMSE
2.1436770501160054,0.3089907711938408,scaffold,MOR,grover_base,MAE
0.20214230713162365,0.16003915120247025,scaffold,MOR,grover_base,R2
0.49581277020746545,0.21348751359805906,scaffold,MOR,grover_base,Pearson_R
2.564762153699893,0.3391150465022633,scaffold,DOR,grover_base,RMSE
2.066111527000898,0.30642638400671807,scaffold,DOR,grover_base,MAE
0.2800647468379644,0.16865033270510765,scaffold,DOR,grover_base,R2
0.5933939276620808,0.18434378514672545,scaffold,DOR,grover_base,Pearson_R
2.6903760003693993,0.3377200292344795,scaffold,KOR,grover_base,RMSE
2.1363434679504456,0.3062105397526141,scaffold,KOR,grover_base,MAE
0.2913192280051919,0.15109024774574373,scaffold,KOR,grover_base,R2
0.6083915999232954,0.09122938613952816,scaffold,KOR,grover_base,Pearson_R
2.021944318409073,0.28902821334159845,scaffold,MDR1,grover_base_rdkit,RMSE
1.5335983250019694,0.21860694343145462,scaffold,MDR1,grover_base_rdkit,MAE
0.6048645316962636,0.19078549774001094,scaffold,MDR1,grover_base_rdkit,R2
