metric_score,metric_name,mol_prop,model_name,fold,split_type,task,AC_label,suffix
0.9897435897435898,AUROC,MDR1,grover_base_rdkit,4,scaffold,cutoff6,AC,
0.9613598901098901,AUPRC,MDR1,RF,4,scaffold,cutoff6,AC,
0.9910912698412697,AUPRC,MDR1,molbert,4,scaffold,cutoff6,AC,
0.9624450013923698,AUPRC,MDR1,grover_base,4,scaffold,cutoff6,AC,
0.9910912698412697,AUPRC,MDR1,grover_base_rdkit,4,scaffold,cutoff6,AC,
0.9333333333333333,Precision_PPV,MDR1,RF,4,scaffold,cutoff6,AC,
0.9333333333333333,Precision_PPV,MDR1,molbert,4,scaffold,cutoff6,AC,
1.0,Precision_PPV,MDR1,grover_base,4,scaffold,cutoff6,AC,
0.9333333333333333,Precision_PPV,MDR1,grover_base_rdkit,4,scaffold,cutoff6,AC,
0.9230769230769231,Precision_NPV,MDR1,RF,4,scaffold,cutoff6,AC,
0.9230769230769231,Precision_NPV,MDR1,molbert,4,scaffold,cutoff6,AC,
0.8125,Precision_NPV,MDR1,grover_base,4,scaffold,cutoff6,AC,
0.9230769230769231,Precision_NPV,MDR1,grover_base_rdkit,4,scaffold,cutoff6,AC,
0.9919999999999999,AUROC,MDR1,RF,5,scaffold,cutoff6,AC,
0.992,AUROC,MDR1,molbert,5,scaffold,cutoff6,AC,
0.994,AUROC,MDR1,grover_base,5,scaffold,cutoff6,AC,
0.996,AUROC,MDR1,grover_base_rdkit,5,scaffold,cutoff6,AC,
0.7766666666666666,AUPRC,MDR1,RF,5,scaffold,cutoff6,AC,
0.7766666666666666,AUPRC,MDR1,molbert,5,scaffold,cutoff6,AC,
0.8599999999999999,AUPRC,MDR1,grover_base,5,scaffold,cutoff6,AC,
0.9183333333333332,AUPRC,MDR1,grover_base_rdkit,5,scaffold,cutoff6,AC,
0.8,Precision_PPV,MDR1,RF,5,scaffold,cutoff6,AC,
0.8,Precision_PPV,MDR1,molbert,5,scaffold,cutoff6,AC,
0.8,Precision_PPV,MDR1,grover_base,5,scaffold,cutoff6,AC,
0.8,Precision_PPV,MDR1,grover_base_rdkit,5,scaffold,cutoff6,AC,
0.99,Precision_NPV,MDR1,RF,5,scaffold,cutoff6,AC,
0.99,Precision_NPV,MDR1,molbert,5,scaffold,cutoff6,AC,
0.99,Precision_NPV,MDR1,grover_base,5,scaffold,cutoff6,AC,
0.99,Precision_NPV,MDR1,grover_base_rdkit,5,scaffold,cutoff6,AC,
0.9605263157894737,AUROC,MDR1,RF,6,scaffold,cutoff6,AC,
0.5263157894736843,AUROC,MDR1,molbert,6,scaffold,cutoff6,AC,
0.618421052631579,AUROC,MDR1,grover_base,6,scaffold,cutoff6,AC,
0.22368421052631582,AUROC,MDR1,grover_base_rdkit,6,scaffold,cutoff6,AC,
0.125,AUPRC,MDR1,RF,6,scaffold,cutoff6,AC,
0.013513513513513514,AUPRC,MDR1,molbert,6,scaffold,cutoff6,AC,
0.016666666666666666,AUPRC,MDR1,grover_base,6,scaffold,cutoff6,AC,
0.008333333333333333,AUPRC,MDR1,grover_base_rdkit,6,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,RF,6,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,molbert,6,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,grover_base,6,scaffold,cutoff6,AC,
0.0,Precision_PPV,MDR1,grover_base_rdkit,6,scaffold,cutoff6,AC,
