mean_metric_score,std_metric_score,split_type,mol_prop,model_name,AC_label,metric_name
1.9284605630836316,0.5403809715504059,scaffold,MDR1,RF,AC,RMSE
1.3791678503109852,0.3082039729212597,scaffold,MDR1,RF,AC,MAE
0.5831052182309489,0.2902425386514614,scaffold,MDR1,RF,AC,R2
0.7801692686702045,0.1891521003299006,scaffold,MDR1,RF,AC,Pearson_R
1.89098872564488,0.4233923948642189,scaffold,CYP3A4,RF,AC,RMSE
1.4166776396762009,0.2805879384498827,scaffold,CYP3A4,RF,AC,MAE
0.08364650168738637,0.28057511251377426,scaffold,CYP3A4,RF,AC,R2
0.4543617053011534,0.163020211251537,scaffold,CYP3A4,RF,AC,Pearson_R
1.8828050854824854,0.22134686075840743,scaffold,CYP2D6,RF,AC,RMSE
1.4723822357717977,0.16563254592132218,scaffold,CYP2D6,RF,AC,MAE
0.15668168808707808,0.13822630029628305,scaffold,CYP2D6,RF,AC,R2
0.5013582831341735,0.15033836079253562,scaffold,CYP2D6,RF,AC,Pearson_R
2.0707843877677843,0.471532138170217,scaffold,MOR,RF,AC,RMSE
1.5108404584507136,0.3539354274162513,scaffold,MOR,RF,AC,MAE
0.46927908187826095,0.2208235283624459,scaffold,MOR,RF,AC,R2
0.7050459847471177,0.13410530279286895,scaffold,MOR,RF,AC,Pearson_R
2.212483078103937,0.4004717714349823,scaffold,DOR,RF,AC,RMSE
1.6759357931410328,0.2722554032574409,scaffold,DOR,RF,AC,MAE
0.4397793726075251,0.21851599145136427,scaffold,DOR,RF,AC,R2
0.6915531515845005,0.14379863971267445,scaffold,DOR,RF,AC,Pearson_R
2.116906938854229,0.3115665553278419,scaffold,KOR,RF,AC,RMSE
1.6421395947393889,0.25644307827603974,scaffold,KOR,RF,AC,MAE
0.5025194986373598,0.13181940066767858,scaffold,KOR,RF,AC,R2
0.7274017249434684,0.07593488436027325,scaffold,KOR,RF,AC,Pearson_R
2.7371833598978137,1.0517620320410932,scaffold,MDR1,molbert,AC,RMSE
2.1701174025609165,0.8329578802725703,scaffold,MDR1,molbert,AC,MAE
0.24631894809159774,0.47862678427281247,scaffold,MDR1,molbert,AC,R2
0.6892857721012969,0.22994837258413436,scaffold,MDR1,molbert,AC,Pearson_R
2.0078445914546936,0.34551750717032453,scaffold,CYP3A4,molbert,AC,RMSE
1.5523972707077738,0.23485185962597765,scaffold,CYP3A4,molbert,AC,MAE
-0.03205988099527167,0.18963701360059856,scaffold,CYP3A4,molbert,AC,R2
0.2723751614584318,0.18820361720422568,scaffold,CYP3A4,molbert,AC,Pearson_R
1.9544080170184073,0.3159327839472584,scaffold,CYP2D6,molbert,AC,RMSE
1.5316168432318034,0.2016089723755127,scaffold,CYP2D6,molbert,AC,MAE
0.10120295963239982,0.1405115136894197,scaffold,CYP2D6,molbert,AC,R2
0.3924257662797732,0.1953069704078051,scaffold,CYP2D6,molbert,AC,Pearson_R
2.4414322925225282,0.37193319085910337,scaffold,MOR,molbert,AC,RMSE
1.9314324318262017,0.28049519026110065,scaffold,MOR,molbert,AC,MAE
0.28278207028602814,0.13107809237294527,scaffold,MOR,molbert,AC,R2
0.5632289604921698,0.13160664778480724,scaffold,MOR,molbert,AC,Pearson_R
2.5844001724938948,0.2887074842173919,scaffold,DOR,molbert,AC,RMSE
2.113683720237085,0.22851085492468357,scaffold,DOR,molbert,AC,MAE
0.24204775787038682,0.23546362739585833,scaffold,DOR,molbert,AC,R2
0.5443878082744458,0.18545981491129845,scaffold,DOR,molbert,AC,Pearson_R
2.5681750000314447,0.40285051852350184,scaffold,KOR,molbert,AC,RMSE
2.0643380760002055,0.35002626979768847,scaffold,KOR,molbert,AC,MAE
0.26543629774694577,0.21317117482159037,scaffold,KOR,molbert,AC,R2
0.5618009349133813,0.14987006540159348,scaffold,KOR,molbert,AC,Pearson_R
3.6002982651263196,1.8321911622786398,scaffold,MDR1,grover_base,AC,RMSE
2.777701751363166,1.6718009087941188,scaffold,MDR1,grover_base,AC,MAE
-0.2634876648073832,1.4104737329810162,scaffold,MDR1,grover_base,AC,R2
0.4563180022444552,0.41983041201370713,scaffold,MDR1,grover_base,AC,Pearson_R
2.074353479471743,0.43653511782392757,scaffold,CYP3A4,grover_base,AC,RMSE
1.599854570946549,0.29453459534858173,scaffold,CYP3A4,grover_base,AC,MAE
-0.07308064562132102,0.10876798627136845,scaffold,CYP3A4,grover_base,AC,R2
0.1793880626949881,0.19857291087767392,scaffold,CYP3A4,grover_base,AC,Pearson_R
2.096477437011793,0.2635898672061373,scaffold,CYP2D6,grover_base,AC,RMSE
1.6497283105901313,0.1997170225523019,scaffold,CYP2D6,grover_base,AC,MAE
-0.05566859960143142,0.26197938736043597,scaffold,CYP2D6,grover_base,AC,R2
0.3440281236449486,0.1955714593591754,scaffold,CYP2D6,grover_base,AC,Pearson_R
2.645820738818798,0.4456174549962146,scaffold,MOR,grover_base,AC,RMSE
2.1561164288869596,0.3942662153836833,scaffold,MOR,grover_base,AC,MAE
0.14947219141521903,0.2098543677409887,scaffold,MOR,grover_base,AC,R2
0.4412923411514773,0.27560791707674204,scaffold,MOR,grover_base,AC,Pearson_R
2.688823234706296,0.4306894659989858,scaffold,DOR,grover_base,AC,RMSE
2.2043876311630917,0.3946327298878881,scaffold,DOR,grover_base,AC,MAE
0.19027866760519274,0.2575646301250615,scaffold,DOR,grover_base,AC,R2
0.5423680089335712,0.2188469102498725,scaffold,DOR,grover_base,AC,Pearson_R
2.629874066452099,0.41332461383497526,scaffold,KOR,grover_base,AC,RMSE
