metric_score,metric_name,mol_prop,model_name,fold,split_type,task,AC_label,suffix
1.2948663289706983,RMSE,MDR1,RF,0,scaffold,reg,AC,
2.134630538327146,RMSE,MDR1,molbert,0,scaffold,reg,AC,
2.5928064388809546,RMSE,MDR1,grover_base,0,scaffold,reg,AC,
1.747064932618468,RMSE,MDR1,grover_base_rdkit,0,scaffold,reg,AC,
1.0133156265733863,MAE,MDR1,RF,0,scaffold,reg,AC,
1.7212777327114799,MAE,MDR1,molbert,0,scaffold,reg,AC,
2.0660225311822393,MAE,MDR1,grover_base,0,scaffold,reg,AC,
1.416650619591203,MAE,MDR1,grover_base_rdkit,0,scaffold,reg,AC,
0.793045640571959,R2,MDR1,RF,0,scaffold,reg,AC,
0.43756785670043163,R2,MDR1,molbert,0,scaffold,reg,AC,
0.17021630564118084,R2,MDR1,grover_base,0,scaffold,reg,AC,
0.6232590777752061,R2,MDR1,grover_base_rdkit,0,scaffold,reg,AC,
0.917078796285739,Pearson_R,MDR1,RF,0,scaffold,reg,AC,
0.700335931191061,Pearson_R,MDR1,molbert,0,scaffold,reg,AC,
0.49566855609274213,Pearson_R,MDR1,grover_base,0,scaffold,reg,AC,
0.8075850690430345,Pearson_R,MDR1,grover_base_rdkit,0,scaffold,reg,AC,
2.293190212699707,RMSE,MDR1,RF,1,scaffold,reg,AC,
2.686973861521498,RMSE,MDR1,molbert,1,scaffold,reg,AC,
4.570600351366363,RMSE,MDR1,grover_base,1,scaffold,reg,AC,
2.4948771906188165,RMSE,MDR1,grover_base_rdkit,1,scaffold,reg,AC,
1.764779408420924,MAE,MDR1,RF,1,scaffold,reg,AC,
2.1975663089923043,MAE,MDR1,molbert,1,scaffold,reg,AC,
3.3320116121953043,MAE,MDR1,grover_base,1,scaffold,reg,AC,
1.992905234136964,MAE,MDR1,grover_base_rdkit,1,scaffold,reg,AC,
0.747306788746857,R2,MDR1,RF,1,scaffold,reg,AC,
0.6530712436862891,R2,MDR1,molbert,1,scaffold,reg,AC,
-0.003829403936915554,R2,MDR1,grover_base,1,scaffold,reg,AC,
0.7009032042449537,R2,MDR1,grover_base_rdkit,1,scaffold,reg,AC,
0.8740528820640445,Pearson_R,MDR1,RF,1,scaffold,reg,AC,
