mean_metric_score,std_metric_score,split_type,mol_rep,mol_prop,model_name,metric_name
2.469717111627586,0.41038487679098745,scaffold,SMILES,MDR1,MolBERT,RMSE
1.9089221359433803,0.24059385563354882,scaffold,SMILES,MDR1,MolBERT,MAE
0.4443538955277639,0.19881373920814416,scaffold,SMILES,MDR1,MolBERT,R2
0.7260605741374709,0.13657835514671232,scaffold,SMILES,MDR1,MolBERT,Pearson_R
1.9089221359433803,0.24059385563354882,scaffold,SMILES,MDR1,MolBERT,MAPE
3.188616254554898,0.8864683934362945,scaffold,Graph,MDR1,GROVER,RMSE
2.3662339574338156,0.6346731584581303,scaffold,Graph,MDR1,GROVER,MAE
0.09125391770857323,0.4310511426971733,scaffold,Graph,MDR1,GROVER,R2
0.42985806638059404,0.3539446497815199,scaffold,Graph,MDR1,GROVER,Pearson_R
2.3662339574338156,0.6346731584581303,scaffold,Graph,MDR1,GROVER,MAPE
2.021944318409073,0.28902821334159845,scaffold,Graph,MDR1,GROVER_RDKit,RMSE
1.5335983250019694,0.21860694343145462,scaffold,Graph,MDR1,GROVER_RDKit,MAE
0.6048645316962636,0.19078549774001094,scaffold,Graph,MDR1,GROVER_RDKit,R2
0.7907936207212578,0.12142245051500167,scaffold,Graph,MDR1,GROVER_RDKit,Pearson_R
1.5335983250019694,0.21860694343145462,scaffold,Graph,MDR1,GROVER_RDKit,MAPE
1.8175760616610475,0.3221420773367723,scaffold,morganBits,MDR1,RF,RMSE
1.319754535561895,0.2124915360735966,scaffold,morganBits,MDR1,RF,MAE
0.6843744753976082,0.15946020201555802,scaffold,morganBits,MDR1,RF,R2
0.827754341806623,0.10407494113781099,scaffold,morganBits,MDR1,RF,Pearson_R
1.319754535561895,0.2124915360735966,scaffold,morganBits,MDR1,RF,MAPE
1.7459035607503837,0.35315796694264623,scaffold,morganCounts,MDR1,RF,RMSE
1.2566383529687373,0.24317649354993898,scaffold,morganCounts,MDR1,RF,MAE
0.7063642062510183,0.16114306039287696,scaffold,morganCounts,MDR1,RF,R2
0.8426355816879645,0.0986471083179843,scaffold,morganCounts,MDR1,RF,Pearson_R
1.2566383529687373,0.24317649354993898,scaffold,morganCounts,MDR1,RF,MAPE
1.9071701117236128,0.2678250733044915,scaffold,maccs,MDR1,RF,RMSE
1.4005138109788888,0.1756300658996502,scaffold,maccs,MDR1,RF,MAE
0.6485734179141468,0.16729850563300572,scaffold,maccs,MDR1,RF,R2
0.8102199488656668,0.10079330917097608,scaffold,maccs,MDR1,RF,Pearson_R
1.4005138109788888,0.1756300658996502,scaffold,maccs,MDR1,RF,MAPE
1.784944492429129,0.27906709114814787,scaffold,rdkit2d,MDR1,RF,RMSE
1.301001908422131,0.21799275675833713,scaffold,rdkit2d,MDR1,RF,MAE
0.6960291088935425,0.13968716495314176,scaffold,rdkit2d,MDR1,RF,R2
0.8401751927105484,0.08273511946182849,scaffold,rdkit2d,MDR1,RF,Pearson_R
1.301001908422131,0.21799275675833713,scaffold,rdkit2d,MDR1,RF,MAPE
2.120873847518327,0.36449706028210166,scaffold,physchem,MDR1,RF,RMSE
1.511868528591988,0.258059286811718,scaffold,physchem,MDR1,RF,MAE
0.581216394756935,0.180593122247741,scaffold,physchem,MDR1,RF,R2
0.7730132023518436,0.10740263887575349,scaffold,physchem,MDR1,RF,Pearson_R
1.511868528591988,0.258059286811718,scaffold,physchem,MDR1,RF,MAPE
1.7520739852926466,0.29820996609340017,scaffold,atomPairs,MDR1,RF,RMSE
1.2996708890745288,0.2152899540652945,scaffold,atomPairs,MDR1,RF,MAE
0.705490882395808,0.15356197622303802,scaffold,atomPairs,MDR1,RF,R2
0.8425007054893313,0.09444375386920723,scaffold,atomPairs,MDR1,RF,Pearson_R
1.2996708890745288,0.2152899540652945,scaffold,atomPairs,MDR1,RF,MAPE
2.2308514763651113,0.2978760455298602,scaffold,morganBits,MDR1,SVM,RMSE
1.6983345805263872,0.2357397214081081,scaffold,morganBits,MDR1,SVM,MAE
0.5201440638353845,0.258689871079985,scaffold,morganBits,MDR1,SVM,R2
0.7645419208593559,0.13973448605744995,scaffold,morganBits,MDR1,SVM,Pearson_R
1.6983345805263872,0.2357397214081081,scaffold,morganBits,MDR1,SVM,MAPE
2.2232832475599427,0.2704613808160917,scaffold,morganCounts,MDR1,SVM,RMSE
1.6825015961545173,0.21007649043784463,scaffold,morganCounts,MDR1,SVM,MAE
0.516660883310151,0.2726098878079373,scaffold,morganCounts,MDR1,SVM,R2
0.766067149098175,0.1374495869139861,scaffold,morganCounts,MDR1,SVM,Pearson_R
1.6825015961545173,0.21007649043784463,scaffold,morganCounts,MDR1,SVM,MAPE
2.349657015867019,0.27283400094295096,scaffold,maccs,MDR1,SVM,RMSE
1.816162624902412,0.2127635455801677,scaffold,maccs,MDR1,SVM,MAE
0.454580981561109,0.285719272484972,scaffold,maccs,MDR1,SVM,R2
0.7201433877731227,0.1448579662742358,scaffold,maccs,MDR1,SVM,Pearson_R
1.816162624902412,0.2127635455801677,scaffold,maccs,MDR1,SVM,MAPE
2.009184616753747,0.28841943333330966,scaffold,rdkit2d,MDR1,SVM,RMSE
1.4969748198370612,0.2364329911216853,scaffold,rdkit2d,MDR1,SVM,MAE
0.6047614569659128,0.21808037280455114,scaffold,rdkit2d,MDR1,SVM,R2
0.801757233369612,0.10266429664792204,scaffold,rdkit2d,MDR1,SVM,Pearson_R
1.4969748198370612,0.2364329911216853,scaffold,rdkit2d,MDR1,SVM,MAPE
4.208892663754192,1.3933880204671432,scaffold,physchem,MDR1,SVM,RMSE
