mean_metric_score,std_metric_score,split_type,mol_prop,model_name,radius,nbit,metric_name
0.2777179932142669,0.05847616005035668,scaffold,CYP2D6,RF,Radius: 2,NumBits: 2048,R2
0.5359346218754814,0.055425614744844476,scaffold,CYP2D6,RF,Radius: 2,NumBits: 2048,Pearson_R
1.5941760378248444,0.21322487080425417,scaffold,CYP3A4,RF,Radius: 2,NumBits: 2048,RMSE
1.151838864156941,0.14244218533464384,scaffold,CYP3A4,RF,Radius: 2,NumBits: 2048,MAE
0.3951123624067699,0.143619342185899,scaffold,CYP3A4,RF,Radius: 2,NumBits: 2048,R2
0.6446861775770333,0.08300861048276785,scaffold,CYP3A4,RF,Radius: 2,NumBits: 2048,Pearson_R
1.953847416901456,0.2722479445822473,scaffold,MOR,RF,Radius: 2,NumBits: 2048,RMSE
1.4133018420769676,0.1832375762299553,scaffold,MOR,RF,Radius: 2,NumBits: 2048,MAE
0.5564704520935654,0.11563258930975685,scaffold,MOR,RF,Radius: 2,NumBits: 2048,R2
0.751909150374095,0.07135906275638572,scaffold,MOR,RF,Radius: 2,NumBits: 2048,Pearson_R
1.941926818829377,0.22109945544465573,scaffold,DOR,RF,Radius: 2,NumBits: 2048,RMSE
1.4269255038374504,0.1706657581051744,scaffold,DOR,RF,Radius: 2,NumBits: 2048,MAE
0.5851085429254665,0.09592078290233969,scaffold,DOR,RF,Radius: 2,NumBits: 2048,R2
0.7720543664826356,0.0583220545777913,scaffold,DOR,RF,Radius: 2,NumBits: 2048,Pearson_R
2.042248684080894,0.18839770758107816,scaffold,KOR,RF,Radius: 2,NumBits: 2048,RMSE
1.531838604588012,0.13849269381013107,scaffold,KOR,RF,Radius: 2,NumBits: 2048,MAE
0.5918295929757822,0.06936845563216287,scaffold,KOR,RF,Radius: 2,NumBits: 2048,R2
0.7744262196579114,0.04367355670783137,scaffold,KOR,RF,Radius: 2,NumBits: 2048,Pearson_R
1.4539880565781587,0.18987451180363818,random,MDR1,RF,Radius: 2,NumBits: 2048,RMSE
0.9523948792261104,0.08842003217479097,random,MDR1,RF,Radius: 2,NumBits: 2048,MAE
0.8254254650501238,0.05342850329644327,random,MDR1,RF,Radius: 2,NumBits: 2048,R2
0.9125226193322502,0.025570872946105338,random,MDR1,RF,Radius: 2,NumBits: 2048,Pearson_R
1.5485411976603911,0.07505692155157406,random,CYP2D6,RF,Radius: 2,NumBits: 2048,RMSE
1.1322884411521084,0.04810820696966063,random,CYP2D6,RF,Radius: 2,NumBits: 2048,MAE
0.3976010376688226,0.049505478275242855,random,CYP2D6,RF,Radius: 2,NumBits: 2048,R2
0.6340776297562785,0.03921390013734958,random,CYP2D6,RF,Radius: 2,NumBits: 2048,Pearson_R
1.3782010482970748,0.09547447371508745,random,CYP3A4,RF,Radius: 2,NumBits: 2048,RMSE
0.9661348486376639,0.045885993507773934,random,CYP3A4,RF,Radius: 2,NumBits: 2048,MAE
0.5709955073237054,0.052788202322838,random,CYP3A4,RF,Radius: 2,NumBits: 2048,R2
0.7569341794883454,0.035344660811801376,random,CYP3A4,RF,Radius: 2,NumBits: 2048,Pearson_R
1.717865182568128,0.09056787994860668,random,MOR,RF,Radius: 2,NumBits: 2048,RMSE
1.2176214866783683,0.05568738537541554,random,MOR,RF,Radius: 2,NumBits: 2048,MAE
0.6719755722637977,0.03170159238180302,random,MOR,RF,Radius: 2,NumBits: 2048,R2
0.8207520526671814,0.019125862298773756,random,MOR,RF,Radius: 2,NumBits: 2048,Pearson_R
1.5963395100397455,0.10363616652817641,random,DOR,RF,Radius: 2,NumBits: 2048,RMSE
1.1594235514605533,0.06909334405733943,random,DOR,RF,Radius: 2,NumBits: 2048,MAE
0.7277051372289508,0.03345004987303117,random,DOR,RF,Radius: 2,NumBits: 2048,R2
0.8541843189432573,0.01998454079688694,random,DOR,RF,Radius: 2,NumBits: 2048,Pearson_R
1.7175959413452118,0.08495917697278879,random,KOR,RF,Radius: 2,NumBits: 2048,RMSE
1.2588227439358521,0.05639486442444332,random,KOR,RF,Radius: 2,NumBits: 2048,MAE
0.7116593216471545,0.03686857338077828,random,KOR,RF,Radius: 2,NumBits: 2048,R2
0.8445726162932383,0.021478944103681494,random,KOR,RF,Radius: 2,NumBits: 2048,Pearson_R
1.778000127959448,0.23921177300768484,scaffold,MDR1,RF,Radius: 3,NumBits: 1024,RMSE
1.30878587857437,0.169571159872349,scaffold,MDR1,RF,Radius: 3,NumBits: 1024,MAE
0.6973506774017328,0.13969184622337358,scaffold,MDR1,RF,Radius: 3,NumBits: 1024,R2
0.8352620391743866,0.08719283314171165,scaffold,MDR1,RF,Radius: 3,NumBits: 1024,Pearson_R
1.694361861542628,0.14434717199612024,scaffold,CYP2D6,RF,Radius: 3,NumBits: 1024,RMSE
1.2827783556899555,0.08949551277727508,scaffold,CYP2D6,RF,Radius: 3,NumBits: 1024,MAE
0.2628754352130371,0.05903920708461189,scaffold,CYP2D6,RF,Radius: 3,NumBits: 1024,R2
0.5237016065180856,0.061473233234003645,scaffold,CYP2D6,RF,Radius: 3,NumBits: 1024,Pearson_R
1.5966472459540564,0.1987677293773864,scaffold,CYP3A4,RF,Radius: 3,NumBits: 1024,RMSE
1.1716965137782984,0.1365780550426116,scaffold,CYP3A4,RF,Radius: 3,NumBits: 1024,MAE
0.39652500233101357,0.11632455250204567,scaffold,CYP3A4,RF,Radius: 3,NumBits: 1024,R2
0.6417998027172384,0.0778345409322661,scaffold,CYP3A4,RF,Radius: 3,NumBits: 1024,Pearson_R
1.991893517223422,0.23498244774116706,scaffold,MOR,RF,Radius: 3,NumBits: 1024,RMSE
1.4565205262039806,0.16979669893071672,scaffold,MOR,RF,Radius: 3,NumBits: 1024,MAE
0.5410355222886387,0.09938390734805543,scaffold,MOR,RF,Radius: 3,NumBits: 1024,R2
0.7409793395197924,0.06602907783760188,scaffold,MOR,RF,Radius: 3,NumBits: 1024,Pearson_R
1.9391946173115184,0.18655816687459104,scaffold,DOR,RF,Radius: 3,NumBits: 1024,RMSE
1.4453451315456158,0.1637849581004777,scaffold,DOR,RF,Radius: 3,NumBits: 1024,MAE
0.5883890547907082,0.08045052813636129,scaffold,DOR,RF,Radius: 3,NumBits: 1024,R2
0.7731472195605744,0.05256079723360545,scaffold,DOR,RF,Radius: 3,NumBits: 1024,Pearson_R
2.0941820966367346,0.19153149450859175,scaffold,KOR,RF,Radius: 3,NumBits: 1024,RMSE
1.5901034962135348,0.1452881617603412,scaffold,KOR,RF,Radius: 3,NumBits: 1024,MAE
0.5710779015767772,0.07133103828176218,scaffold,KOR,RF,Radius: 3,NumBits: 1024,R2
0.7620092089095174,0.045566164539886066,scaffold,KOR,RF,Radius: 3,NumBits: 1024,Pearson_R
1.5099988327158504,0.17349818310630952,random,MDR1,RF,Radius: 3,NumBits: 1024,RMSE
0.9972621644172572,0.09397314749735758,random,MDR1,RF,Radius: 3,NumBits: 1024,MAE
0.8123995671896831,0.05234558707717124,random,MDR1,RF,Radius: 3,NumBits: 1024,R2
0.9046549545528997,0.026866750314297118,random,MDR1,RF,Radius: 3,NumBits: 1024,Pearson_R
1.5753295288217792,0.07960150634921169,random,CYP2D6,RF,Radius: 3,NumBits: 1024,RMSE
1.1589596337180585,0.046314497281681216,random,CYP2D6,RF,Radius: 3,NumBits: 1024,MAE
0.3769289719740252,0.0483389070057298,random,CYP2D6,RF,Radius: 3,NumBits: 1024,R2
0.6202548189696228,0.04162952606618988,random,CYP2D6,RF,Radius: 3,NumBits: 1024,Pearson_R
1.4082900025033405,0.0918607609846416,random,CYP3A4,RF,Radius: 3,NumBits: 1024,RMSE
0.9998127965683146,0.04928936329210834,random,CYP3A4,RF,Radius: 3,NumBits: 1024,MAE
0.5521918146388481,0.051929846724019665,random,CYP3A4,RF,Radius: 3,NumBits: 1024,R2
0.7465566724284385,0.03552640344754385,random,CYP3A4,RF,Radius: 3,NumBits: 1024,Pearson_R
1.7360703719957913,0.09621407167005445,random,MOR,RF,Radius: 3,NumBits: 1024,RMSE
1.2398399051158626,0.05533444233339844,random,MOR,RF,Radius: 3,NumBits: 1024,MAE
0.6650523836557316,0.03274868916431951,random,MOR,RF,Radius: 3,NumBits: 1024,R2
0.8169800517865847,0.020593795902131687,random,MOR,RF,Radius: 3,NumBits: 1024,Pearson_R
1.624892757496429,0.0980411429913162,random,DOR,RF,Radius: 3,NumBits: 1024,RMSE
1.1760136502728378,0.06566509730440044,random,DOR,RF,Radius: 3,NumBits: 1024,MAE
0.7180961667075167,0.03109958213746142,random,DOR,RF,Radius: 3,NumBits: 1024,R2
0.8492840990138577,0.018980555304166497,random,DOR,RF,Radius: 3,NumBits: 1024,Pearson_R
1.7516589219873737,0.08671350381362411,random,KOR,RF,Radius: 3,NumBits: 1024,RMSE
1.2961021213545223,0.05148057673429787,random,KOR,RF,Radius: 3,NumBits: 1024,MAE
0.700264440386267,0.0374412296464783,random,KOR,RF,Radius: 3,NumBits: 1024,R2
0.8385802959571389,0.022711288870251433,random,KOR,RF,Radius: 3,NumBits: 1024,Pearson_R
1.8004458684179687,0.25293495411143774,scaffold,MDR1,RF,Radius: 3,NumBits: 2048,RMSE
1.3009026449254413,0.16461181896840743,scaffold,MDR1,RF,Radius: 3,NumBits: 2048,MAE
0.6888725650226288,0.15418165002451642,scaffold,MDR1,RF,Radius: 3,NumBits: 2048,R2
0.8299898166301758,0.09833952563252439,scaffold,MDR1,RF,Radius: 3,NumBits: 2048,Pearson_R
1.6879129352184823,0.14790573676747268,scaffold,CYP2D6,RF,Radius: 3,NumBits: 2048,RMSE
1.2693225811736546,0.09083645785591138,scaffold,CYP2D6,RF,Radius: 3,NumBits: 2048,MAE
0.26838488855476694,0.0639905728421579,scaffold,CYP2D6,RF,Radius: 3,NumBits: 2048,R2
0.5294662796460743,0.06463913999165435,scaffold,CYP2D6,RF,Radius: 3,NumBits: 2048,Pearson_R
1.599244679746044,0.21485161610947598,scaffold,CYP3A4,RF,Radius: 3,NumBits: 2048,RMSE
1.1614705306589472,0.14983801928840992,scaffold,CYP3A4,RF,Radius: 3,NumBits: 2048,MAE
0.3933267340077384,0.1319485353310324,scaffold,CYP3A4,RF,Radius: 3,NumBits: 2048,R2
0.6417844806896021,0.07967392289608702,scaffold,CYP3A4,RF,Radius: 3,NumBits: 2048,Pearson_R
1.970896622513412,0.23691308089081242,scaffold,MOR,RF,Radius: 3,NumBits: 2048,RMSE
1.4307705688633425,0.16679756900116124,scaffold,MOR,RF,Radius: 3,NumBits: 2048,MAE
0.5495894952378415,0.10306948631031554,scaffold,MOR,RF,Radius: 3,NumBits: 2048,R2
0.7466890076223935,0.06634818791356571,scaffold,MOR,RF,Radius: 3,NumBits: 2048,Pearson_R
1.9343712710223842,0.20508681619680716,scaffold,DOR,RF,Radius: 3,NumBits: 2048,RMSE
1.430762986076208,0.16832713683957845,scaffold,DOR,RF,Radius: 3,NumBits: 2048,MAE
0.5893308317582994,0.09105474976546774,scaffold,DOR,RF,Radius: 3,NumBits: 2048,R2
0.7735113770482871,0.058769234476815285,scaffold,DOR,RF,Radius: 3,NumBits: 2048,Pearson_R
2.077829150760836,0.20582724713114456,scaffold,KOR,RF,Radius: 3,NumBits: 2048,RMSE
1.5654984358862072,0.14742768506295506,scaffold,KOR,RF,Radius: 3,NumBits: 2048,MAE
0.577461670136564,0.07508122200160507,scaffold,KOR,RF,Radius: 3,NumBits: 2048,R2
0.7651360483526214,0.04706811533829285,scaffold,KOR,RF,Radius: 3,NumBits: 2048,Pearson_R
1.490591926141696,0.1939452596059022,random,MDR1,RF,Radius: 3,NumBits: 2048,RMSE
0.9759807990846574,0.09921380359482118,random,MDR1,RF,Radius: 3,NumBits: 2048,MAE
0.8165599336530336,0.05587919103546205,random,MDR1,RF,Radius: 3,NumBits: 2048,R2
0.9075256363431062,0.027786790008597153,random,MDR1,RF,Radius: 3,NumBits: 2048,Pearson_R
1.557956130684818,0.08029662863266256,random,CYP2D6,RF,Radius: 3,NumBits: 2048,RMSE
1.1390859305363985,0.045526691918386056,random,CYP2D6,RF,Radius: 3,NumBits: 2048,MAE
0.3903120902225378,0.05155236588747694,random,CYP2D6,RF,Radius: 3,NumBits: 2048,R2
0.6294623374672222,0.04241224088084041,random,CYP2D6,RF,Radius: 3,NumBits: 2048,Pearson_R
1.3975844235786885,0.0938709483748052,random,CYP3A4,RF,Radius: 3,NumBits: 2048,RMSE
0.9870451198643935,0.04786262368055046,random,CYP3A4,RF,Radius: 3,NumBits: 2048,MAE
0.5587535067506224,0.05400622988793813,random,CYP3A4,RF,Radius: 3,NumBits: 2048,R2
0.7493044366914355,0.0367272146122714,random,CYP3A4,RF,Radius: 3,NumBits: 2048,Pearson_R
1.7268913608684957,0.08776169793049926,random,MOR,RF,Radius: 3,NumBits: 2048,RMSE
1.2254560125099188,0.05618998068890591,random,MOR,RF,Radius: 3,NumBits: 2048,MAE
0.6685525333376681,0.031131296533213778,random,MOR,RF,Radius: 3,NumBits: 2048,R2
0.8186665572870377,0.01910904924058817,random,MOR,RF,Radius: 3,NumBits: 2048,Pearson_R
1.6009536788755867,0.0920936682246714,random,DOR,RF,Radius: 3,NumBits: 2048,RMSE
1.1604616390198004,0.06505278657512326,random,DOR,RF,Radius: 3,NumBits: 2048,MAE
0.7262891211165152,0.030047408277192104,random,DOR,RF,Radius: 3,NumBits: 2048,R2
0.8537372040480071,0.01825760532795399,random,DOR,RF,Radius: 3,NumBits: 2048,Pearson_R
1.730766546056973,0.08066394466350595,random,KOR,RF,Radius: 3,NumBits: 2048,RMSE
1.2729178638594658,0.052489178495849366,random,KOR,RF,Radius: 3,NumBits: 2048,MAE
0.7072139990292439,0.036892491515012844,random,KOR,RF,Radius: 3,NumBits: 2048,R2
0.8422447649951987,0.021832330742004136,random,KOR,RF,Radius: 3,NumBits: 2048,Pearson_R
