mean_metric_score,std_metric_score,split_type,mol_rep,mol_prop,model_name,metric_name
2.3136729984155764,0.2819556349676024,scaffold,SMILES,MDR1,MolBERT,RMSE
1.8172430595491977,0.2356220575381944,scaffold,SMILES,MDR1,MolBERT,MAE
0.40424824251282027,0.18535140560997285,scaffold,SMILES,MDR1,MolBERT,R2
0.7076044445999858,0.1311786885936201,scaffold,SMILES,MDR1,MolBERT,Pearson_R
1.8172430595491977,0.2356220575381944,scaffold,SMILES,MDR1,MolBERT,MAPE
2.879500360776446,0.7765864199744401,scaffold,Graph,MDR1,GROVER,RMSE
2.215361388081364,0.6518556225511642,scaffold,Graph,MDR1,GROVER,MAE
0.06678002580335617,0.5500162795515087,scaffold,Graph,MDR1,GROVER,R2
0.42823103631068765,0.33508091698676834,scaffold,Graph,MDR1,GROVER,Pearson_R
2.215361388081364,0.6518556225511642,scaffold,Graph,MDR1,GROVER,MAPE
1.8917409245398995,0.33448847945250965,scaffold,Graph,MDR1,GROVER_RDKit,RMSE
1.4617806069925965,0.26673809301944956,scaffold,Graph,MDR1,GROVER_RDKit,MAE
0.5882119403116117,0.17626986048762303,scaffold,Graph,MDR1,GROVER_RDKit,R2
0.7933398432455189,0.10194025152859008,scaffold,Graph,MDR1,GROVER_RDKit,Pearson_R
1.4617806069925965,0.26673809301944956,scaffold,Graph,MDR1,GROVER_RDKit,MAPE
1.7192300555570768,0.3323482869079785,scaffold,morganBits,MDR1,RF,RMSE
1.2681252520000936,0.23340252907880565,scaffold,morganBits,MDR1,RF,MAE
0.6545189870922825,0.16682894081381855,scaffold,morganBits,MDR1,RF,R2
0.8209257906948335,0.10018905384775723,scaffold,morganBits,MDR1,RF,Pearson_R
1.2681252520000936,0.23340252907880565,scaffold,morganBits,MDR1,RF,MAPE
1.595650521697204,0.35418443385543213,scaffold,morganCounts,MDR1,RF,RMSE
1.1637513307048324,0.24918509917545564,scaffold,morganCounts,MDR1,RF,MAE
0.6992200538807161,0.16045111381892094,scaffold,morganCounts,MDR1,RF,R2
0.8480693025815873,0.08824000909089583,scaffold,morganCounts,MDR1,RF,Pearson_R
1.1637513307048324,0.24918509917545564,scaffold,morganCounts,MDR1,RF,MAPE
1.8139916141508963,0.274110029293783,scaffold,maccs,MDR1,RF,RMSE
1.3366080572170418,0.1665605067023713,scaffold,maccs,MDR1,RF,MAE
0.6322024799005537,0.11860324365196671,scaffold,maccs,MDR1,RF,R2
0.8071340240724061,0.07105367459735619,scaffold,maccs,MDR1,RF,Pearson_R
1.3366080572170418,0.1665605067023713,scaffold,maccs,MDR1,RF,MAPE
1.687184214265566,0.28392219203349384,scaffold,rdkit2d,MDR1,RF,RMSE
1.2312425877719773,0.1988818660719866,scaffold,rdkit2d,MDR1,RF,MAE
0.6746414540901696,0.13616960334086914,scaffold,rdkit2d,MDR1,RF,R2
0.840814820938278,0.07824397949067734,scaffold,rdkit2d,MDR1,RF,Pearson_R
1.2312425877719773,0.1988818660719866,scaffold,rdkit2d,MDR1,RF,MAPE
1.9638394671022643,0.3564351592952414,scaffold,physchem,MDR1,RF,RMSE
1.4340909261135057,0.26646877464099544,scaffold,physchem,MDR1,RF,MAE
0.5513814500623476,0.2263138230117205,scaffold,physchem,MDR1,RF,R2
0.7696319683374597,0.12736738289939184,scaffold,physchem,MDR1,RF,Pearson_R
1.4340909261135057,0.26646877464099544,scaffold,physchem,MDR1,RF,MAPE
1.645136487403573,0.2666950836009199,scaffold,atomPairs,MDR1,RF,RMSE
1.2325078021346028,0.1903809167766124,scaffold,atomPairs,MDR1,RF,MAE
0.6869680941284354,0.13510376909704533,scaffold,atomPairs,MDR1,RF,R2
0.8413320620898357,0.07831313786027075,scaffold,atomPairs,MDR1,RF,Pearson_R
1.2325078021346028,0.1903809167766124,scaffold,atomPairs,MDR1,RF,MAPE
2.1122985816962228,0.3234417524577821,scaffold,morganBits,MDR1,SVM,RMSE
1.6121952993242425,0.2782923719533871,scaffold,morganBits,MDR1,SVM,MAE
0.48505353659414313,0.23858475086716857,scaffold,morganBits,MDR1,SVM,R2
0.7492850066895014,0.1164967887754244,scaffold,morganBits,MDR1,SVM,Pearson_R
1.6121952993242425,0.2782923719533871,scaffold,morganBits,MDR1,SVM,MAPE
2.15261690726947,0.27605548419100256,scaffold,morganCounts,MDR1,SVM,RMSE
1.6507221039654578,0.2407344039717682,scaffold,morganCounts,MDR1,SVM,MAE
0.46720483037868593,0.22575381827220817,scaffold,morganCounts,MDR1,SVM,R2
0.7527430236476802,0.10405926710781127,scaffold,morganCounts,MDR1,SVM,Pearson_R
1.6507221039654578,0.2407344039717682,scaffold,morganCounts,MDR1,SVM,MAPE
2.360263552535493,0.3956520871643981,scaffold,maccs,MDR1,SVM,RMSE
1.8317492977866723,0.32100381998372907,scaffold,maccs,MDR1,SVM,MAE
0.35744962715788964,0.2786528431342461,scaffold,maccs,MDR1,SVM,R2
0.6684337581367407,0.12848296222400643,scaffold,maccs,MDR1,SVM,Pearson_R
1.8317492977866723,0.32100381998372907,scaffold,maccs,MDR1,SVM,MAPE
1.9023106002306385,0.28710807060352667,scaffold,rdkit2d,MDR1,SVM,RMSE
1.40222710541218,0.21825460359204843,scaffold,rdkit2d,MDR1,SVM,MAE
0.5819806441561906,0.1995963988284117,scaffold,rdkit2d,MDR1,SVM,R2
0.7883755076693117,0.10547149737515184,scaffold,rdkit2d,MDR1,SVM,Pearson_R
1.40222710541218,0.21825460359204843,scaffold,rdkit2d,MDR1,SVM,MAPE
