metric_score,metric_name,mol_rep,mol_prop,model_name,fold,split_type,task
0.6356580120021442,BEDROC,atomPairs,MDR1,RF,0,scaffold,cutoff6
8.7,EF,morganBits,MDR1,RF,0,scaffold,cutoff6
8.7,EF,morganCounts,MDR1,RF,0,scaffold,cutoff6
6.7666666666666675,EF,maccs,MDR1,RF,0,scaffold,cutoff6
5.8,EF,rdkit2d,MDR1,RF,0,scaffold,cutoff6
2.9,EF,physchem,MDR1,RF,0,scaffold,cutoff6
5.8,EF,atomPairs,MDR1,RF,0,scaffold,cutoff6
0.9925925925925926,AUROC,morganBits,MDR1,SVM,0,scaffold,cutoff6
0.997037037037037,AUROC,morganCounts,MDR1,SVM,0,scaffold,cutoff6
0.9733333333333334,AUROC,maccs,MDR1,SVM,0,scaffold,cutoff6
0.9792592592592593,AUROC,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
0.8540740740740741,AUROC,physchem,MDR1,SVM,0,scaffold,cutoff6
0.9837037037037036,AUROC,atomPairs,MDR1,SVM,0,scaffold,cutoff6
0.9063145188145189,AUPRC,morganBits,MDR1,SVM,0,scaffold,cutoff6
0.9600757575757576,AUPRC,morganCounts,MDR1,SVM,0,scaffold,cutoff6
0.7332509157509157,AUPRC,maccs,MDR1,SVM,0,scaffold,cutoff6
0.813250313283208,AUPRC,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
0.5406527398610732,AUPRC,physchem,MDR1,SVM,0,scaffold,cutoff6
0.8241805375996553,AUPRC,atomPairs,MDR1,SVM,0,scaffold,cutoff6
0.6923076923076923,Precision_PPV,morganBits,MDR1,SVM,0,scaffold,cutoff6
0.8181818181818182,Precision_PPV,morganCounts,MDR1,SVM,0,scaffold,cutoff6
0.45,Precision_PPV,maccs,MDR1,SVM,0,scaffold,cutoff6
0.5,Precision_PPV,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
0.2,Precision_PPV,physchem,MDR1,SVM,0,scaffold,cutoff6
0.5625,Precision_PPV,atomPairs,MDR1,SVM,0,scaffold,cutoff6
0.9924242424242424,Precision_NPV,morganBits,MDR1,SVM,0,scaffold,cutoff6
0.9925373134328358,Precision_NPV,morganCounts,MDR1,SVM,0,scaffold,cutoff6
0.992,Precision_NPV,maccs,MDR1,SVM,0,scaffold,cutoff6
0.9921259842519685,Precision_NPV,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
0.9652173913043478,Precision_NPV,physchem,MDR1,SVM,0,scaffold,cutoff6
0.9922480620155039,Precision_NPV,atomPairs,MDR1,SVM,0,scaffold,cutoff6
0.7719911836524134,MCC,morganBits,MDR1,SVM,0,scaffold,cutoff6
0.8471343250344009,MCC,morganCounts,MDR1,SVM,0,scaffold,cutoff6
0.6014858146167582,MCC,maccs,MDR1,SVM,0,scaffold,cutoff6
0.6403943994732,MCC,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
0.26411825780562803,MCC,physchem,MDR1,SVM,0,scaffold,cutoff6
0.6859362517663166,MCC,atomPairs,MDR1,SVM,0,scaffold,cutoff6
0.7642276422764228,Cohen_Kappa,morganBits,MDR1,SVM,0,scaffold,cutoff6
0.8460176991150442,Cohen_Kappa,morganCounts,MDR1,SVM,0,scaffold,cutoff6
0.5594936708860759,Cohen_Kappa,maccs,MDR1,SVM,0,scaffold,cutoff6
0.6081081081081081,Cohen_Kappa,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
0.21923076923076912,Cohen_Kappa,physchem,MDR1,SVM,0,scaffold,cutoff6
0.663768115942029,Cohen_Kappa,atomPairs,MDR1,SVM,0,scaffold,cutoff6
0.6773082612773611,BEDROC,morganBits,MDR1,SVM,0,scaffold,cutoff6
0.781318769118562,BEDROC,morganCounts,MDR1,SVM,0,scaffold,cutoff6
0.41192791420649855,BEDROC,maccs,MDR1,SVM,0,scaffold,cutoff6
0.516265207849726,BEDROC,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
0.21236692017785028,BEDROC,physchem,MDR1,SVM,0,scaffold,cutoff6
0.5941732915473872,BEDROC,atomPairs,MDR1,SVM,0,scaffold,cutoff6
8.7,EF,morganBits,MDR1,SVM,0,scaffold,cutoff6
8.7,EF,morganCounts,MDR1,SVM,0,scaffold,cutoff6
3.8666666666666663,EF,maccs,MDR1,SVM,0,scaffold,cutoff6
6.7666666666666675,EF,rdkit2d,MDR1,SVM,0,scaffold,cutoff6
2.9,EF,physchem,MDR1,SVM,0,scaffold,cutoff6
7.7333333333333325,EF,atomPairs,MDR1,SVM,0,scaffold,cutoff6
0.9966666666666667,AUROC,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
0.9896296296296296,AUROC,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
0.9837037037037036,AUROC,maccs,MDR1,XGBoost,0,scaffold,cutoff6
0.9755555555555555,AUROC,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
0.9051851851851852,AUROC,physchem,MDR1,XGBoost,0,scaffold,cutoff6
0.9355555555555556,AUROC,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
0.9763157894736842,AUPRC,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
0.887152149321267,AUPRC,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
0.8455228758169935,AUPRC,maccs,MDR1,XGBoost,0,scaffold,cutoff6
0.8044642857142856,AUPRC,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
0.6537858266403042,AUPRC,physchem,MDR1,XGBoost,0,scaffold,cutoff6
0.7520081411126187,AUPRC,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
1.0,Precision_PPV,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
0.5625,Precision_PPV,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
0.5294117647058824,Precision_PPV,maccs,MDR1,XGBoost,0,scaffold,cutoff6
0.375,Precision_PPV,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
0.2222222222222222,Precision_PPV,physchem,MDR1,XGBoost,0,scaffold,cutoff6
0.35,Precision_PPV,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
0.9926470588235294,Precision_NPV,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
0.9922480620155039,Precision_NPV,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
0.9921875,Precision_NPV,maccs,MDR1,XGBoost,0,scaffold,cutoff6
0.9917355371900827,Precision_NPV,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
0.981651376146789,Precision_NPV,physchem,MDR1,XGBoost,0,scaffold,cutoff6
0.976,Precision_NPV,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
0.9451890567189065,MCC,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
0.6859362517663166,MCC,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
0.6622157897382462,MCC,maccs,MDR1,XGBoost,0,scaffold,cutoff6
0.5378787878787878,MCC,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
0.3475830608914556,MCC,physchem,MDR1,XGBoost,0,scaffold,cutoff6
0.4436298089707312,MCC,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
0.9436893203883495,Cohen_Kappa,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
0.663768115942029,Cohen_Kappa,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
0.634965034965035,Cohen_Kappa,maccs,MDR1,XGBoost,0,scaffold,cutoff6
0.4786516853932584,Cohen_Kappa,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
0.26890756302521,Cohen_Kappa,physchem,MDR1,XGBoost,0,scaffold,cutoff6
0.41265822784810124,Cohen_Kappa,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
0.952324531661828,BEDROC,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
0.5985358483222822,BEDROC,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
0.534336760741701,BEDROC,maccs,MDR1,XGBoost,0,scaffold,cutoff6
0.5379737575984472,BEDROC,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
0.23901686695085955,BEDROC,physchem,MDR1,XGBoost,0,scaffold,cutoff6
0.4266530503439153,BEDROC,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
8.7,EF,morganBits,MDR1,XGBoost,0,scaffold,cutoff6
7.7333333333333325,EF,morganCounts,MDR1,XGBoost,0,scaffold,cutoff6
6.7666666666666675,EF,maccs,MDR1,XGBoost,0,scaffold,cutoff6
5.8,EF,rdkit2d,MDR1,XGBoost,0,scaffold,cutoff6
1.9333333333333331,EF,physchem,MDR1,XGBoost,0,scaffold,cutoff6
4.833333333333334,EF,atomPairs,MDR1,XGBoost,0,scaffold,cutoff6
-1.0,AUROC,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
,AUPRC,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
0.0,Precision_PPV,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
1.0,Precision_NPV,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
0.0,MCC,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
,Cohen_Kappa,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
0.0,BEDROC,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
0.0,EF,SMILES,CYP2D6,MolBERT,0,scaffold,cutoff6
-1.0,AUROC,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
,AUPRC,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
0.0,Precision_PPV,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
1.0,Precision_NPV,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
0.0,MCC,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
,Cohen_Kappa,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
0.0,BEDROC,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
0.0,EF,Graph,CYP2D6,GROVER,0,scaffold,cutoff6
-1.0,AUROC,Graph,CYP2D6,GROVER_RDKit,0,scaffold,cutoff6
,AUPRC,Graph,CYP2D6,GROVER_RDKit,0,scaffold,cutoff6
