metric_score,metric_name,mol_prop,model_name,fold,split_type,task,radius,nbit
1.5460843644765139,RMSE,MDR1,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.133508783744099,MAE,MDR1,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.7319564649189303,R2,MDR1,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.8698003823219386,Pearson_R,MDR1,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.683190442521886,RMSE,CYP2D6,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.33086369567039,MAE,CYP2D6,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.2408507090626394,R2,CYP2D6,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.4910650664099224,Pearson_R,CYP2D6,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.5992813108154538,RMSE,CYP3A4,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.2062627803865105,MAE,CYP3A4,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.2867894614558455,R2,CYP3A4,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.5394510404323729,Pearson_R,CYP3A4,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.669668964363315,RMSE,MOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.2482066162231265,MAE,MOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.6823516030413057,R2,MOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.8264090713295897,Pearson_R,MOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
2.004771665831724,RMSE,DOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.3731992839191178,MAE,DOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.5582208579958865,R2,DOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.7553999494807078,Pearson_R,DOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.9535205763358183,RMSE,KOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.4188191820851184,MAE,KOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.5593626038893293,R2,KOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
0.7545812318557239,Pearson_R,KOR,RF,0,scaffold,reg,Radius: 2,NumBits: 1024
1.2728195233998354,RMSE,MDR1,RF,0,random,reg,Radius: 2,NumBits: 1024
0.915157191587896,MAE,MDR1,RF,0,random,reg,Radius: 2,NumBits: 1024
0.86506196349834,R2,MDR1,RF,0,random,reg,Radius: 2,NumBits: 1024
0.9306345929867923,Pearson_R,MDR1,RF,0,random,reg,Radius: 2,NumBits: 1024
1.5504647321211147,RMSE,CYP2D6,RF,0,random,reg,Radius: 2,NumBits: 1024
1.1340407323690724,MAE,CYP2D6,RF,0,random,reg,Radius: 2,NumBits: 1024
0.3699533957375991,R2,CYP2D6,RF,0,random,reg,Radius: 2,NumBits: 1024
0.6133376921953981,Pearson_R,CYP2D6,RF,0,random,reg,Radius: 2,NumBits: 1024
1.2437828657542205,RMSE,CYP3A4,RF,0,random,reg,Radius: 2,NumBits: 1024
0.9226883780267848,MAE,CYP3A4,RF,0,random,reg,Radius: 2,NumBits: 1024
0.6305260487338542,R2,CYP3A4,RF,0,random,reg,Radius: 2,NumBits: 1024
0.7966561894204596,Pearson_R,CYP3A4,RF,0,random,reg,Radius: 2,NumBits: 1024
1.5218454663308705,RMSE,MOR,RF,0,random,reg,Radius: 2,NumBits: 1024
1.0899346376828059,MAE,MOR,RF,0,random,reg,Radius: 2,NumBits: 1024
0.7359655431384341,R2,MOR,RF,0,random,reg,Radius: 2,NumBits: 1024
0.8596200956865891,Pearson_R,MOR,RF,0,random,reg,Radius: 2,NumBits: 1024
1.6177056320034184,RMSE,DOR,RF,0,random,reg,Radius: 2,NumBits: 1024
1.0955241574574672,MAE,DOR,RF,0,random,reg,Radius: 2,NumBits: 1024
0.7093184995296916,R2,DOR,RF,0,random,reg,Radius: 2,NumBits: 1024
0.8423314119808757,Pearson_R,DOR,RF,0,random,reg,Radius: 2,NumBits: 1024
1.8068961000225199,RMSE,KOR,RF,0,random,reg,Radius: 2,NumBits: 1024
1.3020185636392383,MAE,KOR,RF,0,random,reg,Radius: 2,NumBits: 1024
0.6941802673920252,R2,KOR,RF,0,random,reg,Radius: 2,NumBits: 1024
0.8335088343383856,Pearson_R,KOR,RF,0,random,reg,Radius: 2,NumBits: 1024
2.2016484501845714,RMSE,MDR1,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.7193186458035452,MAE,MDR1,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.724755717596915,R2,MDR1,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.8525016774716401,Pearson_R,MDR1,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.5082263374356621,RMSE,CYP2D6,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.1060196941634073,MAE,CYP2D6,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.34206074431999245,R2,CYP2D6,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.5869782886015269,Pearson_R,CYP2D6,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.4463918130289306,RMSE,CYP3A4,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.0991057099579025,MAE,CYP3A4,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.43719670796135346,R2,CYP3A4,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.6663801308866151,Pearson_R,CYP3A4,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.9672677972655268,RMSE,MOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.4781582210731528,MAE,MOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.5766931258394994,R2,MOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.7643524902339489,Pearson_R,MOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.8375260231026065,RMSE,DOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.3906825058876802,MAE,DOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.6306393885512732,R2,DOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.8006158201080462,Pearson_R,DOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
2.1748179253654984,RMSE,KOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.6545938054431935,MAE,KOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.5378614649743589,R2,KOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
0.7435715745956161,Pearson_R,KOR,RF,1,scaffold,reg,Radius: 2,NumBits: 1024
1.6487155696093323,RMSE,MDR1,RF,1,random,reg,Radius: 2,NumBits: 1024
