mean_metric_score,std_metric_score,split_type,mol_rep,mol_prop,model_name,metric_name
5.306315229520495,0.2696369193396903,scaffold,SMILES,A2a,MolBERT,RMSE
5.22043451838837,0.24837503351966894,scaffold,SMILES,A2a,MolBERT,MAE
-42.22065785725549,26.001999983492517,scaffold,SMILES,A2a,MolBERT,R2
0.19101792318173944,0.2527256076098116,scaffold,SMILES,A2a,MolBERT,Pearson_R
5.22043451838837,0.24837503351966894,scaffold,SMILES,A2a,MolBERT,MAPE
0.9312269089687049,0.23956314963617137,scaffold,Graph,A2a,GROVER,RMSE
0.7243588726156979,0.200217408365261,scaffold,Graph,A2a,GROVER,MAE
-0.09978216116464164,0.2641557649571035,scaffold,Graph,A2a,GROVER,R2
0.23385345345685143,0.2928909501419254,scaffold,Graph,A2a,GROVER,Pearson_R
0.7243588726156979,0.200217408365261,scaffold,Graph,A2a,GROVER,MAPE
0.9445301120146603,0.2142024182933341,scaffold,Graph,A2a,GROVER_RDKit,RMSE
0.7196834238339165,0.1811972301004727,scaffold,Graph,A2a,GROVER_RDKit,MAE
-0.16517457077311934,0.37146117314117694,scaffold,Graph,A2a,GROVER_RDKit,R2
0.25282581150791833,0.25805256144868255,scaffold,Graph,A2a,GROVER_RDKit,Pearson_R
0.7196834238339165,0.1811972301004727,scaffold,Graph,A2a,GROVER_RDKit,MAPE
0.8096233207591415,0.22099841322473437,scaffold,morganBits,A2a,RF,RMSE
0.609397463734569,0.16481755416813865,scaffold,morganBits,A2a,RF,MAE
0.13500485848142865,0.31469276549002506,scaffold,morganBits,A2a,RF,R2
0.47484537147552913,0.2686433429222596,scaffold,morganBits,A2a,RF,Pearson_R
0.609397463734569,0.16481755416813865,scaffold,morganBits,A2a,RF,MAPE
0.8307647594803457,0.2191993680791096,scaffold,morganCounts,A2a,RF,RMSE
0.6251151921516761,0.16142672160946436,scaffold,morganCounts,A2a,RF,MAE
0.08690634910492594,0.33284297706529875,scaffold,morganCounts,A2a,RF,R2
0.4380866288812106,0.27906809254746684,scaffold,morganCounts,A2a,RF,Pearson_R
0.6251151921516761,0.16142672160946436,scaffold,morganCounts,A2a,RF,MAPE
0.9042957052434214,0.23371497052186138,scaffold,maccs,A2a,RF,RMSE
0.6847558753707708,0.17108814852206766,scaffold,maccs,A2a,RF,MAE
-0.08745841100645878,0.39792850808049596,scaffold,maccs,A2a,RF,R2
0.37344197198187745,0.2712618256655246,scaffold,maccs,A2a,RF,Pearson_R
0.6847558753707708,0.17108814852206766,scaffold,maccs,A2a,RF,MAPE
0.9470562239166022,0.19024243632993704,scaffold,rdkit2d,A2a,RF,RMSE
0.7029522100308647,0.13624944470831166,scaffold,rdkit2d,A2a,RF,MAE
-0.21144811621493428,0.4686080844699271,scaffold,rdkit2d,A2a,RF,R2
0.30613740446561283,0.23629204243817148,scaffold,rdkit2d,A2a,RF,Pearson_R
0.7029522100308647,0.13624944470831166,scaffold,rdkit2d,A2a,RF,MAPE
0.911202942402701,0.25587164570387605,scaffold,physchem,A2a,RF,RMSE
0.668777103986549,0.164677832461614,scaffold,physchem,A2a,RF,MAE
-0.12000682914637703,0.44927963305607754,scaffold,physchem,A2a,RF,R2
0.2594424982240636,0.3645663547419015,scaffold,physchem,A2a,RF,Pearson_R
0.668777103986549,0.164677832461614,scaffold,physchem,A2a,RF,MAPE
0.78200945852119,0.2088340636599495,scaffold,atomPairs,A2a,RF,RMSE
0.5879299706128742,0.15671394876637806,scaffold,atomPairs,A2a,RF,MAE
0.18596315997996526,0.3446483275617862,scaffold,atomPairs,A2a,RF,R2
0.5372191815873641,0.2386966673919184,scaffold,atomPairs,A2a,RF,Pearson_R
0.5879299706128742,0.15671394876637806,scaffold,atomPairs,A2a,RF,MAPE
0.9848670955572373,0.19710035267342949,scaffold,morganBits,A2a,SVM,RMSE
0.7648754208451938,0.1374562658933282,scaffold,morganBits,A2a,SVM,MAE
-0.3987784015128664,0.7495706525061407,scaffold,morganBits,A2a,SVM,R2
0.454471618205384,0.20238293701418786,scaffold,morganBits,A2a,SVM,Pearson_R
0.7648754208451938,0.1374562658933282,scaffold,morganBits,A2a,SVM,MAPE
1.2193615867811154,0.2673269625654627,scaffold,morganCounts,A2a,SVM,RMSE
0.909229956508021,0.18272647367523878,scaffold,morganCounts,A2a,SVM,MAE
-1.1685025354268836,1.295508931475672,scaffold,morganCounts,A2a,SVM,R2
0.3156806731054019,0.2910324242268679,scaffold,morganCounts,A2a,SVM,Pearson_R
0.909229956508021,0.18272647367523878,scaffold,morganCounts,A2a,SVM,MAPE
1.2383663195416692,0.22850409207650085,scaffold,maccs,A2a,SVM,RMSE
0.9405812325758325,0.20190274123718369,scaffold,maccs,A2a,SVM,MAE
-1.4061818641456825,1.8911055765027491,scaffold,maccs,A2a,SVM,R2
0.23660859990612348,0.3206053800717803,scaffold,maccs,A2a,SVM,Pearson_R
0.9405812325758325,0.20190274123718369,scaffold,maccs,A2a,SVM,MAPE
0.9992059332721032,0.24902327050247222,scaffold,rdkit2d,A2a,SVM,RMSE
0.759522419179098,0.1853421953010428,scaffold,rdkit2d,A2a,SVM,MAE
-0.35081230421899845,0.5477683065690206,scaffold,rdkit2d,A2a,SVM,R2
0.35162042509070535,0.27640483240037406,scaffold,rdkit2d,A2a,SVM,Pearson_R
0.759522419179098,0.1853421953010428,scaffold,rdkit2d,A2a,SVM,MAPE
1.9205629299874116,0.4778042905806449,scaffold,physchem,A2a,SVM,RMSE
1.6345359101806816,0.4668189897883892,scaffold,physchem,A2a,SVM,MAE
