model,metric_name,mol_prop,task,p_value,stats_method
grover_base_rdkit,Precision_NPV,MDR1,cutoff6,0.8450804241615161,wilcoxon
grover_base_rdkit,Precision_NPV,MDR1,cutoff6,0.6845254861446498,ttest_ind
grover_base_rdkit,Precision_NPV,MDR1,cutoff6,0.8187456534765797,ranksums
grover_base_rdkit,AUROC,CYP3A4,cutoff6,0.814048274396947,ttest_rel
grover_base_rdkit,AUROC,CYP3A4,cutoff6,0.49079849348995086,wilcoxon
grover_base_rdkit,AUROC,CYP3A4,cutoff6,0.8328913569224201,ttest_ind
grover_base_rdkit,AUROC,CYP3A4,cutoff6,0.4246622046508918,ranksums
grover_base_rdkit,AUPRC,CYP3A4,cutoff6,0.7360063060325638,ttest_rel
grover_base_rdkit,AUPRC,CYP3A4,cutoff6,0.8290130316946699,wilcoxon
grover_base_rdkit,AUPRC,CYP3A4,cutoff6,0.7698668492278022,ttest_ind
grover_base_rdkit,AUPRC,CYP3A4,cutoff6,0.9882041649400981,ranksums
grover_base_rdkit,Precision_PPV,CYP3A4,cutoff6,0.9078550688970242,ttest_rel
grover_base_rdkit,Precision_PPV,CYP3A4,cutoff6,0.8290130316946699,wilcoxon
grover_base_rdkit,Precision_PPV,CYP3A4,cutoff6,0.93196340488013,ttest_ind
grover_base_rdkit,Precision_PPV,CYP3A4,cutoff6,0.7393988193114496,ranksums
grover_base_rdkit,Precision_NPV,CYP3A4,cutoff6,0.6073574221308646,ttest_rel
grover_base_rdkit,Precision_NPV,CYP3A4,cutoff6,0.3184906025782175,wilcoxon
grover_base_rdkit,Precision_NPV,CYP3A4,cutoff6,0.650435093148009,ttest_ind
grover_base_rdkit,Precision_NPV,CYP3A4,cutoff6,0.21978226081614072,ranksums
grover_base_rdkit,AUROC,CYP2D6,cutoff6,0.16546295123778898,ttest_rel
grover_base_rdkit,AUROC,CYP2D6,cutoff6,0.07864666027410346,wilcoxon
grover_base_rdkit,AUROC,CYP2D6,cutoff6,0.1447304414896235,ttest_ind
