model_1,model_2,metric_name,mol_prop,split_type,task,p_value,stats_method
grover_base_rdkit,grover_base_rdkit,RMSE,MDR1,scaffold,reg,1.0,ttest_ind
grover_base_rdkit,grover_base_rdkit,RMSE,MDR1,scaffold,reg,1.0,ranksums
RF,RF,MAE,MDR1,scaffold,reg,,ttest_rel
RF,RF,MAE,MDR1,scaffold,reg,1,wilcoxon
RF,RF,MAE,MDR1,scaffold,reg,1.0,ttest_ind
RF,RF,MAE,MDR1,scaffold,reg,1.0,ranksums
RF,molbert,MAE,MDR1,scaffold,reg,1.099359701666444e-13,ttest_rel
RF,molbert,MAE,MDR1,scaffold,reg,1.7343976283205784e-06,wilcoxon
RF,molbert,MAE,MDR1,scaffold,reg,2.5515302541452004e-14,ttest_ind
RF,molbert,MAE,MDR1,scaffold,reg,2.4878739798152165e-10,ranksums
RF,grover_base,MAE,MDR1,scaffold,reg,2.1245837705194288e-10,ttest_rel
RF,grover_base,MAE,MDR1,scaffold,reg,1.7343976283205784e-06,wilcoxon
RF,grover_base,MAE,MDR1,scaffold,reg,7.01756480354473e-12,ttest_ind
RF,grover_base,MAE,MDR1,scaffold,reg,5.772986300873358e-11,ranksums
RF,grover_base_rdkit,MAE,MDR1,scaffold,reg,8.726281614659934e-06,ttest_rel
RF,grover_base_rdkit,MAE,MDR1,scaffold,reg,1.9729484515803686e-05,wilcoxon
RF,grover_base_rdkit,MAE,MDR1,scaffold,reg,0.00030621971071955297,ttest_ind
RF,grover_base_rdkit,MAE,MDR1,scaffold,reg,0.00041013072581951406,ranksums
molbert,RF,MAE,MDR1,scaffold,reg,1.099359701666444e-13,ttest_rel
molbert,RF,MAE,MDR1,scaffold,reg,1.7343976283205784e-06,wilcoxon
molbert,RF,MAE,MDR1,scaffold,reg,2.5515302541452004e-14,ttest_ind
molbert,RF,MAE,MDR1,scaffold,reg,2.4878739798152165e-10,ranksums
molbert,molbert,MAE,MDR1,scaffold,reg,,ttest_rel
molbert,molbert,MAE,MDR1,scaffold,reg,1,wilcoxon
molbert,molbert,MAE,MDR1,scaffold,reg,1.0,ttest_ind
molbert,molbert,MAE,MDR1,scaffold,reg,1.0,ranksums
molbert,grover_base,MAE,MDR1,scaffold,reg,0.00013974088243441294,ttest_rel
molbert,grover_base,MAE,MDR1,scaffold,reg,6.319756764397932e-05,wilcoxon
molbert,grover_base,MAE,MDR1,scaffold,reg,0.0004962421995470149,ttest_ind
molbert,grover_base,MAE,MDR1,scaffold,reg,0.0004584823042156212,ranksums
molbert,grover_base_rdkit,MAE,MDR1,scaffold,reg,7.729671200102532e-09,ttest_rel
molbert,grover_base_rdkit,MAE,MDR1,scaffold,reg,2.3534209951215346e-06,wilcoxon
molbert,grover_base_rdkit,MAE,MDR1,scaffold,reg,3.96291041181524e-08,ttest_ind
molbert,grover_base_rdkit,MAE,MDR1,scaffold,reg,3.956103396361222e-07,ranksums
grover_base,RF,MAE,MDR1,scaffold,reg,2.1245837705194288e-10,ttest_rel
grover_base,RF,MAE,MDR1,scaffold,reg,1.7343976283205784e-06,wilcoxon
grover_base,RF,MAE,MDR1,scaffold,reg,7.01756480354473e-12,ttest_ind
grover_base,RF,MAE,MDR1,scaffold,reg,5.772986300873358e-11,ranksums
grover_base,molbert,MAE,MDR1,scaffold,reg,0.00013974088243441294,ttest_rel
grover_base,molbert,MAE,MDR1,scaffold,reg,6.319756764397932e-05,wilcoxon
grover_base,molbert,MAE,MDR1,scaffold,reg,0.0004962421995470149,ttest_ind
grover_base,molbert,MAE,MDR1,scaffold,reg,0.0004584823042156212,ranksums
grover_base,grover_base,MAE,MDR1,scaffold,reg,,ttest_rel
grover_base,grover_base,MAE,MDR1,scaffold,reg,1,wilcoxon
grover_base,grover_base,MAE,MDR1,scaffold,reg,1.0,ttest_ind
grover_base,grover_base,MAE,MDR1,scaffold,reg,1.0,ranksums
grover_base,grover_base_rdkit,MAE,MDR1,scaffold,reg,3.610030745263308e-08,ttest_rel
grover_base,grover_base_rdkit,MAE,MDR1,scaffold,reg,2.3534209951215346e-06,wilcoxon
grover_base,grover_base_rdkit,MAE,MDR1,scaffold,reg,6.498371147125892e-09,ttest_ind
grover_base,grover_base_rdkit,MAE,MDR1,scaffold,reg,1.021796734587546e-09,ranksums
grover_base_rdkit,RF,MAE,MDR1,scaffold,reg,8.726281614659934e-06,ttest_rel
grover_base_rdkit,RF,MAE,MDR1,scaffold,reg,1.9729484515803686e-05,wilcoxon
grover_base_rdkit,RF,MAE,MDR1,scaffold,reg,0.00030621971071955297,ttest_ind
grover_base_rdkit,RF,MAE,MDR1,scaffold,reg,0.00041013072581951406,ranksums
grover_base_rdkit,molbert,MAE,MDR1,scaffold,reg,7.729671200102532e-09,ttest_rel
grover_base_rdkit,molbert,MAE,MDR1,scaffold,reg,2.3534209951215346e-06,wilcoxon
grover_base_rdkit,molbert,MAE,MDR1,scaffold,reg,3.96291041181524e-08,ttest_ind
grover_base_rdkit,molbert,MAE,MDR1,scaffold,reg,3.956103396361222e-07,ranksums
grover_base_rdkit,grover_base,MAE,MDR1,scaffold,reg,3.610030745263308e-08,ttest_rel
grover_base_rdkit,grover_base,MAE,MDR1,scaffold,reg,2.3534209951215346e-06,wilcoxon
grover_base_rdkit,grover_base,MAE,MDR1,scaffold,reg,6.498371147125892e-09,ttest_ind
grover_base_rdkit,grover_base,MAE,MDR1,scaffold,reg,1.021796734587546e-09,ranksums
grover_base_rdkit,grover_base_rdkit,MAE,MDR1,scaffold,reg,,ttest_rel
grover_base_rdkit,grover_base_rdkit,MAE,MDR1,scaffold,reg,1,wilcoxon
grover_base_rdkit,grover_base_rdkit,MAE,MDR1,scaffold,reg,1.0,ttest_ind
grover_base_rdkit,grover_base_rdkit,MAE,MDR1,scaffold,reg,1.0,ranksums
RF,RF,R2,MDR1,scaffold,reg,,ttest_rel
RF,RF,R2,MDR1,scaffold,reg,1,wilcoxon
RF,RF,R2,MDR1,scaffold,reg,1.0,ttest_ind
RF,RF,R2,MDR1,scaffold,reg,1.0,ranksums
RF,molbert,R2,MDR1,scaffold,reg,2.899181698817842e-09,ttest_rel
RF,molbert,R2,MDR1,scaffold,reg,1.9209211049031396e-06,wilcoxon
RF,molbert,R2,MDR1,scaffold,reg,3.167332545128582e-06,ttest_ind
RF,molbert,R2,MDR1,scaffold,reg,2.2339876316665356e-06,ranksums
RF,grover_base,R2,MDR1,scaffold,reg,2.473181548868643e-08,ttest_rel
RF,grover_base,R2,MDR1,scaffold,reg,1.7343976283205784e-06,wilcoxon
RF,grover_base,R2,MDR1,scaffold,reg,2.2532850451395627e-09,ttest_ind
RF,grover_base,R2,MDR1,scaffold,reg,4.005532781778256e-10,ranksums
RF,grover_base_rdkit,R2,MDR1,scaffold,reg,0.0011475194052510173,ttest_rel
RF,grover_base_rdkit,R2,MDR1,scaffold,reg,0.0011973381999984532,wilcoxon
RF,grover_base_rdkit,R2,MDR1,scaffold,reg,0.08529727829768625,ttest_ind
RF,grover_base_rdkit,R2,MDR1,scaffold,reg,0.08366998691712503,ranksums
molbert,RF,R2,MDR1,scaffold,reg,2.899181698817842e-09,ttest_rel
molbert,RF,R2,MDR1,scaffold,reg,1.9209211049031396e-06,wilcoxon
molbert,RF,R2,MDR1,scaffold,reg,3.167332545128582e-06,ttest_ind
molbert,RF,R2,MDR1,scaffold,reg,2.2339876316665356e-06,ranksums
molbert,molbert,R2,MDR1,scaffold,reg,,ttest_rel
molbert,molbert,R2,MDR1,scaffold,reg,1,wilcoxon
molbert,molbert,R2,MDR1,scaffold,reg,1.0,ttest_ind
molbert,molbert,R2,MDR1,scaffold,reg,1.0,ranksums
molbert,grover_base,R2,MDR1,scaffold,reg,0.00012565425704647555,ttest_rel
molbert,grover_base,R2,MDR1,scaffold,reg,3.7242647279456434e-05,wilcoxon
molbert,grover_base,R2,MDR1,scaffold,reg,0.00014200430206119728,ttest_ind
molbert,grover_base,R2,MDR1,scaffold,reg,7.89907821375286e-05,ranksums
molbert,grover_base_rdkit,R2,MDR1,scaffold,reg,1.1212598080536616e-05,ttest_rel
molbert,grover_base_rdkit,R2,MDR1,scaffold,reg,1.0246327832617613e-05,wilcoxon
molbert,grover_base_rdkit,R2,MDR1,scaffold,reg,0.0022921915033145284,ttest_ind
molbert,grover_base_rdkit,R2,MDR1,scaffold,reg,0.0017226570286592812,ranksums
grover_base,RF,R2,MDR1,scaffold,reg,2.473181548868643e-08,ttest_rel
grover_base,RF,R2,MDR1,scaffold,reg,1.7343976283205784e-06,wilcoxon
grover_base,RF,R2,MDR1,scaffold,reg,2.2532850451395627e-09,ttest_ind
grover_base,RF,R2,MDR1,scaffold,reg,4.005532781778256e-10,ranksums
grover_base,molbert,R2,MDR1,scaffold,reg,0.00012565425704647555,ttest_rel
grover_base,molbert,R2,MDR1,scaffold,reg,3.7242647279456434e-05,wilcoxon
grover_base,molbert,R2,MDR1,scaffold,reg,0.00014200430206119728,ttest_ind
grover_base,molbert,R2,MDR1,scaffold,reg,7.89907821375286e-05,ranksums
grover_base,grover_base,R2,MDR1,scaffold,reg,,ttest_rel
grover_base,grover_base,R2,MDR1,scaffold,reg,1,wilcoxon
grover_base,grover_base,R2,MDR1,scaffold,reg,1.0,ttest_ind
grover_base,grover_base,R2,MDR1,scaffold,reg,1.0,ranksums
grover_base,grover_base_rdkit,R2,MDR1,scaffold,reg,2.894232094678252e-07,ttest_rel
grover_base,grover_base_rdkit,R2,MDR1,scaffold,reg,3.181679410969855e-06,wilcoxon
grover_base,grover_base_rdkit,R2,MDR1,scaffold,reg,1.5397776625503598e-07,ttest_ind
grover_base,grover_base_rdkit,R2,MDR1,scaffold,reg,2.1031211365264012e-08,ranksums
grover_base_rdkit,RF,R2,MDR1,scaffold,reg,0.0011475194052510173,ttest_rel
grover_base_rdkit,RF,R2,MDR1,scaffold,reg,0.0011973381999984532,wilcoxon
grover_base_rdkit,RF,R2,MDR1,scaffold,reg,0.08529727829768625,ttest_ind
grover_base_rdkit,RF,R2,MDR1,scaffold,reg,0.08366998691712503,ranksums
grover_base_rdkit,molbert,R2,MDR1,scaffold,reg,1.1212598080536616e-05,ttest_rel
grover_base_rdkit,molbert,R2,MDR1,scaffold,reg,1.0246327832617613e-05,wilcoxon
grover_base_rdkit,molbert,R2,MDR1,scaffold,reg,0.0022921915033145284,ttest_ind
grover_base_rdkit,molbert,R2,MDR1,scaffold,reg,0.0017226570286592812,ranksums
grover_base_rdkit,grover_base,R2,MDR1,scaffold,reg,2.894232094678252e-07,ttest_rel
grover_base_rdkit,grover_base,R2,MDR1,scaffold,reg,3.181679410969855e-06,wilcoxon
grover_base_rdkit,grover_base,R2,MDR1,scaffold,reg,1.5397776625503598e-07,ttest_ind
grover_base_rdkit,grover_base,R2,MDR1,scaffold,reg,2.1031211365264012e-08,ranksums
grover_base_rdkit,grover_base_rdkit,R2,MDR1,scaffold,reg,,ttest_rel
grover_base_rdkit,grover_base_rdkit,R2,MDR1,scaffold,reg,1,wilcoxon
grover_base_rdkit,grover_base_rdkit,R2,MDR1,scaffold,reg,1.0,ttest_ind
grover_base_rdkit,grover_base_rdkit,R2,MDR1,scaffold,reg,1.0,ranksums
RF,RF,Pearson_R,MDR1,scaffold,reg,,ttest_rel
RF,RF,Pearson_R,MDR1,scaffold,reg,1,wilcoxon
RF,RF,Pearson_R,MDR1,scaffold,reg,1.0,ttest_ind
RF,RF,Pearson_R,MDR1,scaffold,reg,1.0,ranksums
RF,molbert,Pearson_R,MDR1,scaffold,reg,6.99337892899927e-06,ttest_rel
RF,molbert,Pearson_R,MDR1,scaffold,reg,1.0246327832617613e-05,wilcoxon
RF,molbert,Pearson_R,MDR1,scaffold,reg,0.001964052832525552,ttest_ind
RF,molbert,Pearson_R,MDR1,scaffold,reg,0.002688839981756471,ranksums
RF,grover_base,Pearson_R,MDR1,scaffold,reg,7.09720149454859e-07,ttest_rel
RF,grover_base,Pearson_R,MDR1,scaffold,reg,2.1266360107314253e-06,wilcoxon
RF,grover_base,Pearson_R,MDR1,scaffold,reg,1.940068494897509e-07,ttest_ind
RF,grover_base,Pearson_R,MDR1,scaffold,reg,2.2339876316665356e-06,ranksums
RF,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,0.015082834883633968,ttest_rel
RF,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,0.007730944211317755,wilcoxon
RF,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,0.21096141060132872,ttest_ind
RF,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,0.28711193012328706,ranksums
molbert,RF,Pearson_R,MDR1,scaffold,reg,6.99337892899927e-06,ttest_rel
molbert,RF,Pearson_R,MDR1,scaffold,reg,1.0246327832617613e-05,wilcoxon
molbert,RF,Pearson_R,MDR1,scaffold,reg,0.001964052832525552,ttest_ind
molbert,RF,Pearson_R,MDR1,scaffold,reg,0.002688839981756471,ranksums
molbert,molbert,Pearson_R,MDR1,scaffold,reg,,ttest_rel
molbert,molbert,Pearson_R,MDR1,scaffold,reg,1,wilcoxon
molbert,molbert,Pearson_R,MDR1,scaffold,reg,1.0,ttest_ind
molbert,molbert,Pearson_R,MDR1,scaffold,reg,1.0,ranksums
molbert,grover_base,Pearson_R,MDR1,scaffold,reg,9.11095241136391e-05,ttest_rel
molbert,grover_base,Pearson_R,MDR1,scaffold,reg,0.00041955098606127764,wilcoxon
molbert,grover_base,Pearson_R,MDR1,scaffold,reg,7.18210859618432e-05,ttest_ind
molbert,grover_base,Pearson_R,MDR1,scaffold,reg,0.0009272718622098232,ranksums
molbert,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,5.551407806984224e-05,ttest_rel
