split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,AUROC,CYP3A4,RF,cutoff6,0.0006781194736490063,ttest_rel
scaffold,AUROC,CYP3A4,RF,cutoff6,0.0013225305101141763,wilcoxon
scaffold,AUROC,CYP3A4,RF,cutoff6,0.00022659067764691087,ttest_ind
scaffold,AUROC,CYP3A4,RF,cutoff6,0.00023202781436071267,ranksums
scaffold,AUROC,CYP3A4,molbert,cutoff6,0.00047963402662890307,ttest_rel
scaffold,AUROC,CYP3A4,molbert,cutoff6,0.00029246278606886,wilcoxon
scaffold,AUROC,CYP3A4,molbert,cutoff6,0.00020270343275139842,ttest_ind
scaffold,AUROC,CYP3A4,molbert,cutoff6,1.0906865251349971e-05,ranksums
scaffold,AUROC,CYP3A4,grover_base,cutoff6,0.010301144460217465,ttest_rel
scaffold,AUROC,CYP3A4,grover_base,cutoff6,0.06871363079688197,wilcoxon
scaffold,AUROC,CYP3A4,grover_base,cutoff6,0.007399631950475324,ttest_ind
scaffold,AUROC,CYP3A4,grover_base,cutoff6,0.13155161121418243,ranksums
scaffold,AUROC,CYP3A4,grover_base_rdkit,cutoff6,0.0001811550083990241,ttest_rel
scaffold,AUROC,CYP3A4,grover_base_rdkit,cutoff6,0.0001149921754357011,wilcoxon
scaffold,AUROC,CYP3A4,grover_base_rdkit,cutoff6,5.1800343063606466e-05,ttest_ind
scaffold,AUROC,CYP3A4,grover_base_rdkit,cutoff6,3.709688906339303e-05,ranksums
scaffold,AUPRC,CYP3A4,RF,cutoff6,,ttest_rel
scaffold,AUPRC,CYP3A4,RF,cutoff6,1.0809064248240008e-05,wilcoxon
scaffold,AUPRC,CYP3A4,RF,cutoff6,,ttest_ind
scaffold,AUPRC,CYP3A4,RF,cutoff6,0.07362842906528969,ranksums
scaffold,AUPRC,CYP3A4,molbert,cutoff6,,ttest_rel
scaffold,AUPRC,CYP3A4,molbert,cutoff6,1.9496331812351264e-05,wilcoxon
scaffold,AUPRC,CYP3A4,molbert,cutoff6,,ttest_ind
scaffold,AUPRC,CYP3A4,molbert,cutoff6,0.07244559577423665,ranksums
scaffold,AUPRC,CYP3A4,grover_base,cutoff6,,ttest_rel
scaffold,AUPRC,CYP3A4,grover_base,cutoff6,0.012452560438554458,wilcoxon
scaffold,AUPRC,CYP3A4,grover_base,cutoff6,,ttest_ind
scaffold,AUPRC,CYP3A4,grover_base,cutoff6,0.05745954602854528,ranksums
scaffold,AUPRC,CYP3A4,grover_base_rdkit,cutoff6,,ttest_rel
scaffold,AUPRC,CYP3A4,grover_base_rdkit,cutoff6,5.7924461897570095e-05,wilcoxon
scaffold,AUPRC,CYP3A4,grover_base_rdkit,cutoff6,,ttest_ind
scaffold,AUPRC,CYP3A4,grover_base_rdkit,cutoff6,0.08235717088238616,ranksums
scaffold,Precision_PPV,CYP3A4,RF,cutoff6,8.346781483791935e-07,ttest_rel
scaffold,Precision_PPV,CYP3A4,RF,cutoff6,0.00010693941204091014,wilcoxon
scaffold,Precision_PPV,CYP3A4,RF,cutoff6,2.923387681597349e-07,ttest_ind
scaffold,Precision_PPV,CYP3A4,RF,cutoff6,3.9553873778822414e-05,ranksums
scaffold,Precision_PPV,CYP3A4,molbert,cutoff6,0.003639516568324222,ttest_rel
scaffold,Precision_PPV,CYP3A4,molbert,cutoff6,0.00017143295508435178,wilcoxon
scaffold,Precision_PPV,CYP3A4,molbert,cutoff6,0.0025217761819623682,ttest_ind
scaffold,Precision_PPV,CYP3A4,molbert,cutoff6,0.0001139754246379726,ranksums
scaffold,Precision_PPV,CYP3A4,grover_base,cutoff6,0.569100219567455,ttest_rel
scaffold,Precision_PPV,CYP3A4,grover_base,cutoff6,0.25281290101640796,wilcoxon
scaffold,Precision_PPV,CYP3A4,grover_base,cutoff6,0.5862807437998557,ttest_ind
scaffold,Precision_PPV,CYP3A4,grover_base,cutoff6,0.03513659994217983,ranksums
scaffold,Precision_PPV,CYP3A4,grover_base_rdkit,cutoff6,0.004426737069893933,ttest_rel
scaffold,Precision_PPV,CYP3A4,grover_base_rdkit,cutoff6,0.0014305623391704556,wilcoxon
scaffold,Precision_PPV,CYP3A4,grover_base_rdkit,cutoff6,0.011871334538438508,ttest_ind
scaffold,Precision_PPV,CYP3A4,grover_base_rdkit,cutoff6,5.265008978704173e-05,ranksums
scaffold,Precision_NPV,CYP3A4,RF,cutoff6,0.0040363560297099555,ttest_rel
