model,metric_name,mol_prop,task,p_value,stats_method
RF,RMSE,KOR,reg,1.7343976283205784e-06,wilcoxon
RF,RMSE,KOR,reg,6.002334754858441e-12,ttest_ind
RF,RMSE,KOR,reg,4.4029951679875334e-10,ranksums
RF,MAE,KOR,reg,1.210130547496899e-11,ttest_rel
RF,MAE,KOR,reg,1.7343976283205784e-06,wilcoxon
RF,MAE,KOR,reg,3.102312958271574e-14,ttest_ind
RF,MAE,KOR,reg,7.033945524801963e-11,ranksums
RF,R2,KOR,reg,2.388697810458043e-09,ttest_rel
RF,R2,KOR,reg,2.3534209951215346e-06,wilcoxon
RF,R2,KOR,reg,1.561563671238532e-11,ttest_ind
RF,R2,KOR,reg,3.6574283634182552e-09,ranksums
RF,Pearson_R,KOR,reg,7.921657075902028e-09,ttest_rel
RF,Pearson_R,KOR,reg,4.729202337447058e-06,wilcoxon
RF,Pearson_R,KOR,reg,9.214579764343345e-11,ttest_ind
RF,Pearson_R,KOR,reg,8.86428893651676e-09,ranksums
molbert,RMSE,MDR1,reg,0.012848191355926275,ttest_rel
molbert,RMSE,MDR1,reg,0.02182672159602272,wilcoxon
molbert,RMSE,MDR1,reg,0.018250774468592294,ttest_ind
molbert,RMSE,MDR1,reg,0.0584368468284206,ranksums
molbert,MAE,MDR1,reg,0.004536661115373651,ttest_rel
molbert,MAE,MDR1,reg,0.011748106348302898,wilcoxon
molbert,MAE,MDR1,reg,0.011730952552856269,ttest_ind
molbert,MAE,MDR1,reg,0.07127836506680116,ranksums
molbert,R2,MDR1,reg,0.0012440113074662993,ttest_rel
molbert,R2,MDR1,reg,0.0041140307793227126,wilcoxon
molbert,R2,MDR1,reg,0.00042152434326355224,ttest_ind
molbert,R2,MDR1,reg,0.005201921540448324,ranksums
molbert,Pearson_R,MDR1,reg,0.0036706831432426323,ttest_rel
molbert,Pearson_R,MDR1,reg,0.011079229099818106,wilcoxon
molbert,Pearson_R,MDR1,reg,0.0025385662881832237,ttest_ind
molbert,Pearson_R,MDR1,reg,0.02558535265900965,ranksums
molbert,RMSE,CYP3A4,reg,0.6238808929963504,ttest_rel
molbert,RMSE,CYP3A4,reg,0.38203416302245696,wilcoxon
molbert,RMSE,CYP3A4,reg,0.6098271978891108,ttest_ind
molbert,RMSE,CYP3A4,reg,0.39117045199768474,ranksums
molbert,MAE,CYP3A4,reg,0.3308878422147268,ttest_rel
molbert,MAE,CYP3A4,reg,0.18462187723062606,wilcoxon
molbert,MAE,CYP3A4,reg,0.31221520811928544,ttest_ind
molbert,MAE,CYP3A4,reg,0.1241512810914928,ranksums
molbert,R2,CYP3A4,reg,0.014428426862240317,ttest_rel
molbert,R2,CYP3A4,reg,0.014795424247745142,wilcoxon
molbert,R2,CYP3A4,reg,0.016583551539591943,ttest_ind
molbert,R2,CYP3A4,reg,0.0236963474859871,ranksums
molbert,Pearson_R,CYP3A4,reg,0.022352113578499717,ttest_rel
molbert,Pearson_R,CYP3A4,reg,0.03000989131308078,wilcoxon
molbert,Pearson_R,CYP3A4,reg,0.02642962450073345,ttest_ind
molbert,Pearson_R,CYP3A4,reg,0.07362842906528969,ranksums
molbert,RMSE,CYP2D6,reg,0.5260415375190072,ttest_rel
molbert,RMSE,CYP2D6,reg,0.7970983030067952,wilcoxon
molbert,RMSE,CYP2D6,reg,0.5254562664820663,ttest_ind
molbert,RMSE,CYP2D6,reg,0.9293151249146342,ranksums
molbert,MAE,CYP2D6,reg,0.45431856338006493,ttest_rel
molbert,MAE,CYP2D6,reg,0.6435165948165775,wilcoxon
molbert,MAE,CYP2D6,reg,0.4397515173919483,ttest_ind
molbert,MAE,CYP2D6,reg,0.7449863001756435,ranksums
molbert,R2,CYP2D6,reg,0.03275975424260034,ttest_rel
molbert,R2,CYP2D6,reg,0.04716174720825457,wilcoxon
molbert,R2,CYP2D6,reg,0.041392018921616425,ttest_ind
molbert,R2,CYP2D6,reg,0.08634644641194693,ranksums
molbert,Pearson_R,CYP2D6,reg,0.054547047722808537,ttest_rel
