split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,RMSE,CYP3A4,molbert,reg,0.0006728295058485795,ranksums
scaffold,RMSE,CYP3A4,grover_base,reg,0.14619440676804724,ttest_rel
scaffold,RMSE,CYP3A4,grover_base,reg,0.17137638877502248,wilcoxon
scaffold,RMSE,CYP3A4,grover_base,reg,0.20847561426034333,ttest_ind
scaffold,RMSE,CYP3A4,grover_base,reg,0.4161358470782788,ranksums
scaffold,RMSE,CYP3A4,grover_base_rdkit,reg,3.820719319853213e-05,ttest_rel
scaffold,RMSE,CYP3A4,grover_base_rdkit,reg,3.7242647279456434e-05,wilcoxon
scaffold,RMSE,CYP3A4,grover_base_rdkit,reg,0.00018696967405986342,ttest_ind
scaffold,RMSE,CYP3A4,grover_base_rdkit,reg,0.0007906010787755833,ranksums
scaffold,MAE,CYP3A4,RF,reg,3.9617068792703975e-08,ttest_rel
scaffold,MAE,CYP3A4,RF,reg,1.7343976283205784e-06,wilcoxon
scaffold,MAE,CYP3A4,RF,reg,1.53708666637518e-08,ttest_ind
scaffold,MAE,CYP3A4,RF,reg,3.213735040445814e-08,ranksums
scaffold,MAE,CYP3A4,molbert,reg,2.0352361243331063e-05,ttest_rel
scaffold,MAE,CYP3A4,molbert,reg,5.7924461897570095e-05,wilcoxon
scaffold,MAE,CYP3A4,molbert,reg,2.819564583699113e-05,ttest_ind
scaffold,MAE,CYP3A4,molbert,reg,5.7862181816114874e-05,ranksums
scaffold,MAE,CYP3A4,grover_base,reg,0.21407599910500366,ttest_rel
scaffold,MAE,CYP3A4,grover_base,reg,0.4048347221574208,wilcoxon
scaffold,MAE,CYP3A4,grover_base,reg,0.22141688598376907,ttest_ind
scaffold,MAE,CYP3A4,grover_base,reg,0.4420179139756857,ranksums
scaffold,MAE,CYP3A4,grover_base_rdkit,reg,1.8254830957742134e-05,ttest_rel
scaffold,MAE,CYP3A4,grover_base_rdkit,reg,3.7242647279456434e-05,wilcoxon
scaffold,MAE,CYP3A4,grover_base_rdkit,reg,2.4324298276746045e-05,ttest_ind
scaffold,MAE,CYP3A4,grover_base_rdkit,reg,9.497303014292743e-05,ranksums
scaffold,R2,CYP3A4,RF,reg,1.3959430853531926e-08,ttest_rel
scaffold,R2,CYP3A4,RF,reg,3.181679410969855e-06,wilcoxon
scaffold,R2,CYP3A4,RF,reg,7.572960624268848e-10,ttest_ind
scaffold,R2,CYP3A4,RF,reg,5.840569474989363e-10,ranksums
scaffold,R2,CYP3A4,molbert,reg,3.196156468423424e-07,ttest_rel
scaffold,R2,CYP3A4,molbert,reg,1.493563929839868e-05,wilcoxon
scaffold,R2,CYP3A4,molbert,reg,7.649148249767986e-10,ttest_ind
scaffold,R2,CYP3A4,molbert,reg,4.134183607820152e-08,ranksums
scaffold,R2,CYP3A4,grover_base,reg,4.924205677237307e-06,ttest_rel
scaffold,R2,CYP3A4,grover_base,reg,3.4052567232805375e-05,wilcoxon
scaffold,R2,CYP3A4,grover_base,reg,1.0983294484501004e-06,ttest_ind
scaffold,R2,CYP3A4,grover_base,reg,1.5479926480282814e-06,ranksums
scaffold,R2,CYP3A4,grover_base_rdkit,reg,1.885427681310798e-08,ttest_rel
scaffold,R2,CYP3A4,grover_base_rdkit,reg,5.216493447033368e-06,wilcoxon
scaffold,R2,CYP3A4,grover_base_rdkit,reg,1.2338442464283965e-09,ttest_ind
scaffold,R2,CYP3A4,grover_base_rdkit,reg,9.44045721202458e-08,ranksums
scaffold,Pearson_R,CYP3A4,RF,reg,1.237498603255283e-08,ttest_rel
scaffold,Pearson_R,CYP3A4,RF,reg,6.983783147477089e-06,wilcoxon
scaffold,Pearson_R,CYP3A4,RF,reg,4.445386054438442e-10,ttest_ind
scaffold,Pearson_R,CYP3A4,RF,reg,8.016964154512661e-08,ranksums
scaffold,Pearson_R,CYP3A4,molbert,reg,1.5412587404476398e-06,ttest_rel
scaffold,Pearson_R,CYP3A4,molbert,reg,2.5967125848447383e-05,wilcoxon
scaffold,Pearson_R,CYP3A4,molbert,reg,1.1916738937692139e-08,ttest_ind
scaffold,Pearson_R,CYP3A4,molbert,reg,5.388954837943559e-07,ranksums
scaffold,Pearson_R,CYP3A4,grover_base,reg,0.0005014408888534371,ttest_rel
scaffold,Pearson_R,CYP3A4,grover_base,reg,0.00316176493665549,wilcoxon
scaffold,Pearson_R,CYP3A4,grover_base,reg,0.00020017604966213998,ttest_ind
scaffold,Pearson_R,CYP3A4,grover_base,reg,0.0004846055678053201,ranksums
scaffold,Pearson_R,CYP3A4,grover_base_rdkit,reg,2.029923309220475e-07,ttest_rel
scaffold,Pearson_R,CYP3A4,grover_base_rdkit,reg,1.126539849982107e-05,wilcoxon
scaffold,Pearson_R,CYP3A4,grover_base_rdkit,reg,2.0330712714437162e-08,ttest_ind
scaffold,Pearson_R,CYP3A4,grover_base_rdkit,reg,8.513441062163692e-07,ranksums
scaffold,RMSE,CYP2D6,RF,reg,5.70327842433782e-07,ttest_rel
scaffold,RMSE,CYP2D6,RF,reg,1.0246327832617613e-05,wilcoxon
scaffold,RMSE,CYP2D6,RF,reg,3.765920838687261e-08,ttest_ind
scaffold,RMSE,CYP2D6,RF,reg,3.130582101998865e-07,ranksums
scaffold,RMSE,CYP2D6,molbert,reg,0.008290073148788294,ttest_rel
scaffold,RMSE,CYP2D6,molbert,reg,0.014795424247745142,wilcoxon
scaffold,RMSE,CYP2D6,molbert,reg,0.008777331803586783,ttest_ind
scaffold,RMSE,CYP2D6,molbert,reg,0.007786348415917453,ranksums
scaffold,RMSE,CYP2D6,grover_base,reg,5.3823824435783195e-05,ttest_rel
scaffold,RMSE,CYP2D6,grover_base,reg,0.00030649986921763576,wilcoxon
scaffold,RMSE,CYP2D6,grover_base,reg,9.922682563387934e-06,ttest_ind
scaffold,RMSE,CYP2D6,grover_base,reg,1.8070878027068354e-05,ranksums
scaffold,RMSE,CYP2D6,grover_base_rdkit,reg,0.0007934983097801813,ttest_rel
scaffold,RMSE,CYP2D6,grover_base_rdkit,reg,0.0019645813713265476,wilcoxon
scaffold,RMSE,CYP2D6,grover_base_rdkit,reg,0.00039054619137086536,ttest_ind
scaffold,RMSE,CYP2D6,grover_base_rdkit,reg,0.00032737562557942835,ranksums
scaffold,MAE,CYP2D6,RF,reg,5.22103760923566e-09,ttest_rel
scaffold,MAE,CYP2D6,RF,reg,6.339135573122464e-06,wilcoxon
scaffold,MAE,CYP2D6,RF,reg,4.295179934173234e-12,ttest_ind
scaffold,MAE,CYP2D6,RF,reg,5.224845695592943e-09,ranksums
scaffold,MAE,CYP2D6,molbert,reg,0.00029563813293721156,ttest_rel
scaffold,MAE,CYP2D6,molbert,reg,0.0008944300647461546,wilcoxon
scaffold,MAE,CYP2D6,molbert,reg,0.00024352539226709126,ttest_ind
scaffold,MAE,CYP2D6,molbert,reg,0.0006728295058485795,ranksums
scaffold,MAE,CYP2D6,grover_base,reg,4.0304610410872065e-06,ttest_rel
scaffold,MAE,CYP2D6,grover_base,reg,8.187753439649276e-05,wilcoxon
scaffold,MAE,CYP2D6,grover_base,reg,9.44675152693727e-07,ttest_ind
scaffold,MAE,CYP2D6,grover_base,reg,5.273482589485243e-06,ranksums
scaffold,MAE,CYP2D6,grover_base_rdkit,reg,1.8100767060676078e-05,ttest_rel
scaffold,MAE,CYP2D6,grover_base_rdkit,reg,0.0001477276174888222,wilcoxon
scaffold,MAE,CYP2D6,grover_base_rdkit,reg,4.162534965026902e-06,ttest_ind
